Home_Team,Away_Team,Result,Date,Link,Year,Round,League
MVV Maastricht,Willem II,2-1,Sat 12 Aug ,/match/mvv/willem-ii/1990,1990,1,eredivisie
Twente 1965,Roda JC,1-1,Sat 12 Aug ,/match/fc-twente-1965/roda-jc/1990,1990,1,eredivisie
Sparta Rotterdam,NEC Nijmegen,1-2,Sun 13 Aug ,/match/sparta-rotterdam/nec/1990,1990,1,eredivisie
Vitesse,Fortuna Sittard,1-1,Sun 13 Aug ,/match/vitesse/fortuna-sittard/1990,1990,1,eredivisie
ADO Den Haag,Ajax,0-4,Sun 13 Aug ,/match/ado-den-haag/ajax/1990,1990,1,eredivisie
RKC Waalwijk,Groningen,3-1,Sun 13 Aug ,/match/rkc-waalwijk/fc-groningen/1990,1990,1,eredivisie
Utrecht,Feyenoord,3-0,Sun 13 Aug ,/match/fc-utrecht/feyenoord/1990,1990,1,eredivisie
FC Volendam,HFC Haarlem ,1-0,Sun 13 Aug ,/match/fc-volendam/haarlem/1990,1990,1,eredivisie
PSV,Den Bosch,1-1,Sun 03 Sep ,/match/psv/fc-den-bosch/1990,1990,1,eredivisie
Roda JC,Sparta Rotterdam,1-1,Wed 16 Aug ,/match/roda-jc/sparta-rotterdam/1990,1990,2,eredivisie
Willem II,Twente 1965,0-0,Wed 16 Aug ,/match/willem-ii/fc-twente-1965/1990,1990,2,eredivisie
HFC Haarlem ,RKC Waalwijk,0-2,Wed 16 Aug ,/match/haarlem/rkc-waalwijk/1990,1990,2,eredivisie
Ajax,Vitesse,5-2,Wed 16 Aug ,/match/ajax/vitesse/1990,1990,2,eredivisie
Feyenoord,FC Volendam,1-1,Wed 16 Aug ,/match/feyenoord/fc-volendam/1990,1990,2,eredivisie
Den Bosch,MVV Maastricht,0-3,Wed 16 Aug ,/match/fc-den-bosch/mvv/1990,1990,2,eredivisie
NEC Nijmegen,ADO Den Haag,3-3,Tue 19 Sep ,/match/nec/ado-den-haag/1990,1990,2,eredivisie
Fortuna Sittard,Utrecht,1-0,Sun 08 Oct ,/match/fortuna-sittard/fc-utrecht/1990,1990,2,eredivisie
Groningen,PSV,0-0,Sun 25 Feb ,/match/fc-groningen/psv/1990,1990,2,eredivisie
HFC Haarlem ,Utrecht,1-2,Sat 19 Aug ,/match/haarlem/fc-utrecht/1990,1990,3,eredivisie
NEC Nijmegen,Twente 1965,2-2,Sat 19 Aug ,/match/nec/fc-twente-1965/1990,1990,3,eredivisie
Roda JC,MVV Maastricht,3-2,Sat 19 Aug ,/match/roda-jc/mvv/1990,1990,3,eredivisie
Willem II,PSV,3-4,Sat 19 Aug ,/match/willem-ii/psv/1990,1990,3,eredivisie
Den Bosch,RKC Waalwijk,1-2,Sat 19 Aug ,/match/fc-den-bosch/rkc-waalwijk/1990,1990,3,eredivisie
Feyenoord,Fortuna Sittard,0-2,Sun 20 Aug ,/match/feyenoord/fortuna-sittard/1990,1990,3,eredivisie
Groningen,FC Volendam,3-0,Sun 20 Aug ,/match/fc-groningen/fc-volendam/1990,1990,3,eredivisie
Ajax,Sparta Rotterdam,1-2,Sun 20 Aug ,/match/ajax/sparta-rotterdam/1990,1990,3,eredivisie
ADO Den Haag,Vitesse,2-1,Sun 20 Aug ,/match/ado-den-haag/vitesse/1990,1990,3,eredivisie
Fortuna Sittard,HFC Haarlem ,1-0,Wed 23 Aug ,/match/fortuna-sittard/haarlem/1990,1990,4,eredivisie
MVV Maastricht,NEC Nijmegen,2-0,Wed 23 Aug ,/match/mvv/nec/1990,1990,4,eredivisie
RKC Waalwijk,Willem II,2-2,Wed 23 Aug ,/match/rkc-waalwijk/willem-ii/1990,1990,4,eredivisie
PSV,Roda JC,3-4,Wed 23 Aug ,/match/psv/roda-jc/1990,1990,4,eredivisie
FC Volendam,Den Bosch,3-0,Wed 23 Aug ,/match/fc-volendam/fc-den-bosch/1990,1990,4,eredivisie
Utrecht,Groningen,1-0,Wed 23 Aug ,/match/fc-utrecht/fc-groningen/1990,1990,4,eredivisie
Twente 1965,Ajax,2-1,Sun 03 Sep ,/match/fc-twente-1965/ajax/1990,1990,4,eredivisie
Vitesse,Feyenoord,2-1,Sun 03 Sep ,/match/vitesse/feyenoord/1990,1990,4,eredivisie
Sparta Rotterdam,ADO Den Haag,3-1,Sun 12 Nov ,/match/sparta-rotterdam/ado-den-haag/1990,1990,4,eredivisie
Willem II,FC Volendam,5-1,Sat 26 Aug ,/match/willem-ii/fc-volendam/1990,1990,5,eredivisie
HFC Haarlem ,Feyenoord,3-1,Sun 27 Aug ,/match/haarlem/feyenoord/1990,1990,5,eredivisie
Groningen,Fortuna Sittard,0-0,Sun 27 Aug ,/match/fc-groningen/fortuna-sittard/1990,1990,5,eredivisie
ADO Den Haag,Twente 1965,3-1,Sun 27 Aug ,/match/ado-den-haag/fc-twente-1965/1990,1990,5,eredivisie
NEC Nijmegen,PSV,1-4,Sun 27 Aug ,/match/nec/psv/1990,1990,5,eredivisie
Den Bosch,Utrecht,2-0,Sun 27 Aug ,/match/fc-den-bosch/fc-utrecht/1990,1990,5,eredivisie
Sparta Rotterdam,Vitesse,1-1,Sun 27 Aug ,/match/sparta-rotterdam/vitesse/1990,1990,5,eredivisie
Roda JC,RKC Waalwijk,3-0,Sun 27 Aug ,/match/roda-jc/rkc-waalwijk/1990,1990,5,eredivisie
Ajax,MVV Maastricht,5-0,Sun 27 Aug ,/match/ajax/mvv/1990,1990,5,eredivisie
MVV Maastricht,ADO Den Haag,3-0,Fri 08 Sep ,/match/mvv/ado-den-haag/1990,1990,6,eredivisie
Fortuna Sittard,Den Bosch,2-0,Sat 09 Sep ,/match/fortuna-sittard/fc-den-bosch/1990,1990,6,eredivisie
Twente 1965,Sparta Rotterdam,2-0,Sat 09 Sep ,/match/fc-twente-1965/sparta-rotterdam/1990,1990,6,eredivisie
RKC Waalwijk,NEC Nijmegen,3-1,Sun 10 Sep ,/match/rkc-waalwijk/nec/1990,1990,6,eredivisie
Vitesse,HFC Haarlem ,4-0,Sun 10 Sep ,/match/vitesse/haarlem/1990,1990,6,eredivisie
Feyenoord,Groningen,3-3,Sun 10 Sep ,/match/feyenoord/fc-groningen/1990,1990,6,eredivisie
PSV,Ajax,2-0,Sun 10 Sep ,/match/psv/ajax/1990,1990,6,eredivisie
Utrecht,Willem II,2-1,Sun 10 Sep ,/match/fc-utrecht/willem-ii/1990,1990,6,eredivisie
FC Volendam,Roda JC,2-0,Sun 10 Sep ,/match/fc-volendam/roda-jc/1990,1990,6,eredivisie
Roda JC,Utrecht,1-0,Fri 15 Sep ,/match/roda-jc/fc-utrecht/1990,1990,7,eredivisie
NEC Nijmegen,FC Volendam,2-2,Sat 16 Sep ,/match/nec/fc-volendam/1990,1990,7,eredivisie
Willem II,Fortuna Sittard,2-0,Sat 16 Sep ,/match/willem-ii/fortuna-sittard/1990,1990,7,eredivisie
Twente 1965,Vitesse,1-1,Sun 17 Sep ,/match/fc-twente-1965/vitesse/1990,1990,7,eredivisie
Groningen,HFC Haarlem ,3-3,Sun 17 Sep ,/match/fc-groningen/haarlem/1990,1990,7,eredivisie
Sparta Rotterdam,MVV Maastricht,2-2,Sun 17 Sep ,/match/sparta-rotterdam/mvv/1990,1990,7,eredivisie
ADO Den Haag,PSV,1-5,Sun 17 Sep ,/match/ado-den-haag/psv/1990,1990,7,eredivisie
Ajax,RKC Waalwijk,0-0,Sun 17 Sep ,/match/ajax/rkc-waalwijk/1990,1990,7,eredivisie
Den Bosch,Feyenoord,1-1,Tue 19 Sep ,/match/fc-den-bosch/feyenoord/1990,1990,7,eredivisie
PSV,Sparta Rotterdam,9-1,Sat 23 Sep ,/match/psv/sparta-rotterdam/1990,1990,8,eredivisie
MVV Maastricht,Twente 1965,0-0,Sat 23 Sep ,/match/mvv/fc-twente-1965/1990,1990,8,eredivisie
HFC Haarlem ,Den Bosch,2-0,Sat 23 Sep ,/match/haarlem/fc-den-bosch/1990,1990,8,eredivisie
Feyenoord,Willem II,4-1,Sat 23 Sep ,/match/feyenoord/willem-ii/1990,1990,8,eredivisie
RKC Waalwijk,ADO Den Haag,3-2,Sun 24 Sep ,/match/rkc-waalwijk/ado-den-haag/1990,1990,8,eredivisie
Vitesse,Groningen,0-1,Sun 24 Sep ,/match/vitesse/fc-groningen/1990,1990,8,eredivisie
Fortuna Sittard,Roda JC,1-1,Sun 24 Sep ,/match/fortuna-sittard/roda-jc/1990,1990,8,eredivisie
Utrecht,NEC Nijmegen,3-0,Sun 24 Sep ,/match/fc-utrecht/nec/1990,1990,8,eredivisie
FC Volendam,Ajax,2-2,Sun 24 Sep ,/match/fc-volendam/ajax/1990,1990,8,eredivisie
