Position,Team,Points,Round,Win,Draw,Lose,Goals_For,Goals_Against,Number_Teams,Year,League
1,Wattenscheid 09,2,1,1,0,0,4,1,20,1990,2_liga
2,Hertha BSC,2,1,1,0,0,2,0,20,1990,2_liga
3,Unterhaching,2,1,1,0,0,3,2,20,1990,2_liga
4,Fortuna Köln,2,1,1,0,0,2,1,20,1990,2_liga
5,MSV Duisburg,2,1,1,0,0,2,1,20,1990,2_liga
6,Saarbrücken,2,1,1,0,0,1,0,20,1990,2_liga
7,Braunschweig,2,1,1,0,0,1,0,20,1990,2_liga
8,Hessen Kassel,1,1,0,1,0,1,1,20,1990,2_liga
9,VfL Osnabrück,1,1,0,1,0,1,1,20,1990,2_liga
10,Meppen,1,1,0,1,0,1,1,20,1990,2_liga
11,Blau-Weiß 1890 B.,1,1,0,1,0,1,1,20,1990,2_liga
12,Schalke 04,1,1,0,1,0,0,0,20,1990,2_liga
13,RW Essen,1,1,0,1,0,0,0,20,1990,2_liga
14,SC Freiburg,0,1,0,0,1,2,3,20,1990,2_liga
15,Alemannia Aachen,0,1,0,0,1,1,2,20,1990,2_liga
16,Darmstadt 98,0,1,0,0,1,1,2,20,1990,2_liga
17,Hannover 96,0,1,0,0,1,0,1,20,1990,2_liga
18,Stuttgarter,0,1,0,0,1,0,1,20,1990,2_liga
19,Preußen Münster,0,1,0,0,1,0,2,20,1990,2_liga
20,Bayreuth SpVgg,0,1,0,0,1,1,4,20,1990,2_liga
1,Braunschweig,4,2,2,0,0,6,1,20,1990,2_liga
2,Wattenscheid 09,4,2,2,0,0,7,3,20,1990,2_liga
3,Blau-Weiß 1890 B.,3,2,1,1,0,4,2,20,1990,2_liga
4,Hertha BSC,3,2,1,1,0,2,0,20,1990,2_liga
5,Unterhaching,3,2,1,1,0,5,4,20,1990,2_liga
6,Fortuna Köln,3,2,1,1,0,4,3,20,1990,2_liga
7,Meppen,3,2,1,1,0,4,3,20,1990,2_liga
8,MSV Duisburg,3,2,1,1,0,3,2,20,1990,2_liga
9,Saarbrücken,3,2,1,1,0,2,1,20,1990,2_liga
10,Hannover 96,2,2,1,0,1,2,1,20,1990,2_liga
11,VfL Osnabrück,2,2,0,2,0,3,3,20,1990,2_liga
12,Hessen Kassel,2,2,0,2,0,2,2,20,1990,2_liga
13,RW Essen,1,2,0,1,1,2,3,20,1990,2_liga
14,Darmstadt 98,1,2,0,1,1,1,2,20,1990,2_liga
15,Preußen Münster,1,2,0,1,1,1,3,20,1990,2_liga
16,Bayreuth SpVgg,1,2,0,1,1,3,6,20,1990,2_liga
17,Schalke 04,1,2,0,1,1,1,5,20,1990,2_liga
18,Stuttgarter,0,2,0,0,2,2,4,20,1990,2_liga
19,SC Freiburg,0,2,0,0,2,3,6,20,1990,2_liga
20,Alemannia Aachen,0,2,0,0,2,1,4,20,1990,2_liga
1,Braunschweig,6,3,3,0,0,9,1,20,1990,2_liga
2,Wattenscheid 09,6,3,3,0,0,9,3,20,1990,2_liga
3,Blau-Weiß 1890 B.,5,3,2,1,0,9,4,20,1990,2_liga
4,Saarbrücken,5,3,2,1,0,4,1,20,1990,2_liga
5,Hertha BSC,5,3,2,1,0,3,0,20,1990,2_liga
6,Unterhaching,4,3,1,2,0,6,5,20,1990,2_liga
7,Schalke 04,3,3,1,1,1,5,5,20,1990,2_liga
8,Fortuna Köln,3,3,1,1,1,4,4,20,1990,2_liga
9,MSV Duisburg,3,3,1,1,1,3,4,20,1990,2_liga
10,Preußen Münster,3,3,1,1,1,2,3,20,1990,2_liga
11,Meppen,3,3,1,1,1,4,6,20,1990,2_liga
12,SC Freiburg,2,3,1,0,2,8,8,20,1990,2_liga
13,Stuttgarter,2,3,1,0,2,3,4,20,1990,2_liga
14,RW Essen,2,3,0,2,1,3,4,20,1990,2_liga
15,Hannover 96,2,3,1,0,2,2,3,20,1990,2_liga
16,VfL Osnabrück,2,3,0,2,1,5,8,20,1990,2_liga
17,Hessen Kassel,2,3,0,2,1,4,7,20,1990,2_liga
18,Darmstadt 98,1,3,0,1,2,1,3,20,1990,2_liga
19,Bayreuth SpVgg,1,3,0,1,2,3,7,20,1990,2_liga
20,Alemannia Aachen,0,3,0,0,3,1,8,20,1990,2_liga
1,Wattenscheid 09,8,4,4,0,0,12,3,20,1990,2_liga
