Position,Team,Points,Round,Win,Draw,Lose,Goals_For,Goals_Against,Number_Teams,Year,League
1,FC Maia,3,1,1,0,0,3,0,18,1998,segunda_liga
2,Gil Vicente,3,1,1,0,0,2,0,18,1998,segunda_liga
3,FC Felgueiras,3,1,1,0,0,2,1,18,1998,segunda_liga
4,Moreirense,3,1,1,0,0,1,0,18,1998,segunda_liga
5,Torreense,3,1,1,0,0,1,0,18,1998,segunda_liga
6,Academico Viseu,3,1,1,0,0,1,0,18,1998,segunda_liga
7,Feirense,1,1,0,1,0,2,2,18,1998,segunda_liga
8,União de Leiria,1,1,0,1,0,2,2,18,1998,segunda_liga
9,Penafiel,1,1,0,1,0,1,1,18,1998,segunda_liga
10,Paços Ferreira,1,1,0,1,0,1,1,18,1998,segunda_liga
11,Beira Mar SC,1,1,0,1,0,0,0,18,1998,segunda_liga
12,Alverca,1,1,0,1,0,0,0,18,1998,segunda_liga
13,Espinho,0,1,0,0,1,1,2,18,1998,segunda_liga
14,Estoril,0,1,0,0,1,0,1,18,1998,segunda_liga
15,Desportivo Aves,0,1,0,0,1,0,1,18,1998,segunda_liga
16,União Madeira,0,1,0,0,1,0,1,18,1998,segunda_liga
17,Nacional,0,1,0,0,1,0,2,18,1998,segunda_liga
18,Uniao Lamas,0,1,0,0,1,0,3,18,1998,segunda_liga
1,Moreirense,6,2,2,0,0,2,0,18,1998,segunda_liga
2,FC Maia,4,2,1,1,0,4,1,18,1998,segunda_liga
3,Gil Vicente,4,2,1,1,0,2,0,18,1998,segunda_liga
4,Penafiel,4,2,1,1,0,4,3,18,1998,segunda_liga
5,Alverca,4,2,1,1,0,2,1,18,1998,segunda_liga
6,Uniao Lamas,3,2,1,0,1,4,3,18,1998,segunda_liga
7,FC Felgueiras,3,2,1,0,1,4,4,18,1998,segunda_liga
8,Academico Viseu,3,2,1,0,1,2,2,18,1998,segunda_liga
9,União Madeira,3,2,1,0,1,2,2,18,1998,segunda_liga
10,Torreense,3,2,1,0,1,1,1,18,1998,segunda_liga
11,Feirense,2,2,0,2,0,3,3,18,1998,segunda_liga
12,União de Leiria,2,2,0,2,0,2,2,18,1998,segunda_liga
13,Beira Mar SC,2,2,0,2,0,1,1,18,1998,segunda_liga
14,Paços Ferreira,1,2,0,1,1,2,3,18,1998,segunda_liga
15,Espinho,1,2,0,1,1,2,3,18,1998,segunda_liga
16,Estoril,1,2,0,1,1,1,2,18,1998,segunda_liga
17,Nacional,1,2,0,1,1,1,3,18,1998,segunda_liga
18,Desportivo Aves,0,2,0,0,2,0,5,18,1998,segunda_liga
1,Gil Vicente,7,3,2,1,0,5,0,18,1998,segunda_liga
2,Penafiel,7,3,2,1,0,7,4,18,1998,segunda_liga
3,Academico Viseu,6,3,2,0,1,6,3,18,1998,segunda_liga
4,Uniao Lamas,6,3,2,0,1,5,3,18,1998,segunda_liga
5,União Madeira,6,3,2,0,1,4,2,18,1998,segunda_liga
6,Moreirense,6,3,2,0,1,3,4,18,1998,segunda_liga
7,FC Maia,5,3,1,2,0,6,3,18,1998,segunda_liga
8,Alverca,5,3,1,2,0,3,2,18,1998,segunda_liga
9,FC Felgueiras,4,3,1,1,1,4,4,18,1998,segunda_liga
10,União de Leiria,3,3,0,3,0,4,4,18,1998,segunda_liga
11,Torreense,3,3,1,0,2,1,2,18,1998,segunda_liga
12,Desportivo Aves,3,3,1,0,2,2,5,18,1998,segunda_liga
13,Estoril,2,3,0,2,1,2,3,18,1998,segunda_liga
14,Paços Ferreira,2,3,0,2,1,2,3,18,1998,segunda_liga
15,Feirense,2,3,0,2,1,4,6,18,1998,segunda_liga
16,Beira Mar SC,2,3,0,2,1,1,3,18,1998,segunda_liga
17,Espinho,1,3,0,1,2,2,6,18,1998,segunda_liga
18,Nacional,1,3,0,1,2,1,5,18,1998,segunda_liga
1,Gil Vicente,8,4,2,2,0,6,1,18,1998,segunda_liga
2,Penafiel,8,4,2,2,0,8,5,18,1998,segunda_liga
3,Alverca,8,4,2,2,0,6,3,18,1998,segunda_liga
4,Academico Viseu,7,4,2,1,1,7,4,18,1998,segunda_liga
5,Uniao Lamas,7,4,2,1,1,6,4,18,1998,segunda_liga
6,FC Felgueiras,7,4,2,1,1,5,4,18,1998,segunda_liga
7,Torreense,6,4,2,0,2,3,2,18,1998,segunda_liga
8,União Madeira,6,4,2,0,2,5,5,18,1998,segunda_liga
9,Moreirense,6,4,2,0,2,3,5,18,1998,segunda_liga
10,FC Maia,5,4,1,2,1,7,6,18,1998,segunda_liga
11,Beira Mar SC,5,4,1,2,1,2,3,18,1998,segunda_liga
12,União de Leiria,4,4,0,4,0,6,6,18,1998,segunda_liga
13,Espinho,4,4,1,1,2,5,7,18,1998,segunda_liga
14,Desportivo Aves,4,4,1,1,2,4,7,18,1998,segunda_liga
15,Estoril,3,4,0,3,1,4,5,18,1998,segunda_liga
16,Paços Ferreira,3,4,0,3,1,4,5,18,1998,segunda_liga
17,Feirense,2,4,0,2,2,4,7,18,1998,segunda_liga
18,Nacional,1,4,0,1,3,1,7,18,1998,segunda_liga
1,Gil Vicente,11,5,3,2,0,9,1,18,1998,segunda_liga
2,Alverca,11,5,3,2,0,8,3,18,1998,segunda_liga
3,FC Maia,8,5,2,2,1,12,7,18,1998,segunda_liga
4,Beira Mar SC,8,5,2,2,1,4,4,18,1998,segunda_liga
5,Penafiel,8,5,2,2,1,9,10,18,1998,segunda_liga
6,Academico Viseu,7,5,2,1,2,7,5,18,1998,segunda_liga
7,Uniao Lamas,7,5,2,1,2,7,6,18,1998,segunda_liga
8,Torreense,7,5,2,1,2,4,3,18,1998,segunda_liga
9,União Madeira,7,5,2,1,2,5,5,18,1998,segunda_liga
10,FC Felgueiras,7,5,2,1,2,5,7,18,1998,segunda_liga
11,Moreirense,6,5,2,0,3,3,7,18,1998,segunda_liga
12,União de Leiria,5,5,0,5,0,7,7,18,1998,segunda_liga
13,Espinho,5,5,1,2,2,7,9,18,1998,segunda_liga
14,Desportivo Aves,5,5,1,2,2,6,9,18,1998,segunda_liga
15,Paços Ferreira,4,5,0,4,1,5,6,18,1998,segunda_liga
16,Estoril,4,5,0,4,1,4,5,18,1998,segunda_liga
17,Nacional,4,5,1,1,3,2,7,18,1998,segunda_liga
18,Feirense,3,5,0,3,2,5,8,18,1998,segunda_liga
1,Gil Vicente,12,6,3,3,0,9,1,18,1998,segunda_liga
2,Alverca,11,6,3,2,1,9,5,18,1998,segunda_liga
3,Penafiel,11,6,3,2,1,13,10,18,1998,segunda_liga
4,Uniao Lamas,10,6,3,1,2,9,7,18,1998,segunda_liga
5,União Madeira,10,6,3,1,2,7,5,18,1998,segunda_liga
6,FC Felgueiras,10,6,3,1,2,6,7,18,1998,segunda_liga
7,FC Maia,8,6,2,2,2,12,8,18,1998,segunda_liga
8,União de Leiria,8,6,1,5,0,8,7,18,1998,segunda_liga
9,Espinho,8,6,2,2,2,9,9,18,1998,segunda_liga
10,Beira Mar SC,8,6,2,2,2,5,6,18,1998,segunda_liga
11,Academico Viseu,7,6,2,1,3,7,6,18,1998,segunda_liga
