Home_Team,Away_Team,Result,Date,Link,Year,Round,League
Saarbrücken,Stuttgarter,1-0,Sat 29 Jul ,/match/saarbrucken/stuttgarter-kickers/1990,1990,1,2_liga
SC Freiburg,Unterhaching,2-3,Sat 29 Jul ,/match/sc-freiburg/unterhaching/1990,1990,1,2_liga
VfL Osnabrück,Meppen,1-1,Sat 29 Jul ,/match/vfl-osnabruck/meppen/1990,1990,1,2_liga
RW Essen,Schalke 04,0-0,Sat 29 Jul ,/match/rot-weiss-essen/schalke-04/1990,1990,1,2_liga
Alemannia Aachen,MSV Duisburg,1-2,Sat 29 Jul ,/match/alemannia-aachen/msv-duisburg/1990,1990,1,2_liga
Hessen Kassel,Blau-Weiß 1890 B.,1-1,Sat 29 Jul ,/match/hessen-kassel/blau-weiss-1890-berlin/1990,1990,1,2_liga
Wattenscheid 09,Bayreuth SpVgg,4-1,Sat 29 Jul ,/match/wattenscheid-09/bayreuth-spvgg/1990,1990,1,2_liga
Fortuna Köln,Darmstadt 98,2-1,Sat 29 Jul ,/match/fortuna-koln/darmstadt-98/1990,1990,1,2_liga
Hertha BSC,Preußen Münster,2-0,Sat 29 Jul ,/match/hertha-bsc/preuben-munster/1990,1990,1,2_liga
Braunschweig,Hannover 96,1-0,Sat 29 Jul ,/match/eintracht-brau-hellip/hannover-96/1990,1990,1,2_liga
Stuttgarter,Wattenscheid 09,2-3,Sun 06 Aug ,/match/stuttgarter-kickers/wattenscheid-09/1990,1990,2,2_liga
Preußen Münster,Hessen Kassel,1-1,Sun 06 Aug ,/match/preuben-munster/hessen-kassel/1990,1990,2,2_liga
Darmstadt 98,Hertha BSC,0-0,Sun 06 Aug ,/match/darmstadt-98/hertha-bsc/1990,1990,2,2_liga
Bayreuth SpVgg,Fortuna Köln,2-2,Sun 06 Aug ,/match/bayreuth-spvgg/fortuna-koln/1990,1990,2,2_liga
MSV Duisburg,Saarbrücken,1-1,Sun 06 Aug ,/match/msv-duisburg/saarbrucken/1990,1990,2,2_liga
Hannover 96,Alemannia Aachen,2-0,Sun 06 Aug ,/match/hannover-96/alemannia-aachen/1990,1990,2,2_liga
Schalke 04,Braunschweig,1-5,Sun 06 Aug ,/match/schalke-04/eintracht-brau-hellip/1990,1990,2,2_liga
