Home_Team,Away_Team,Result,Date,Link,Year,Round,League
BV Veendam ,Den Bosch,1-0,Tue 20 Aug ,/match/veendam/fc-den-bosch/1997,1997,1,eerste_divisie
MVV Maastricht,Excelsior,3-0,Wed 21 Aug ,/match/mvv/excelsior/1997,1997,1,eerste_divisie
Dordrecht,SC Telstar,2-1,Wed 21 Aug ,/match/fc-dordrecht/stormvogels-telstar/1997,1997,1,eerste_divisie
HFC Haarlem ,FC Eindhoven,1-2,Wed 21 Aug ,/match/haarlem/fc-eindhoven/1997,1997,1,eerste_divisie
Go Ahead Eagles,RBC Roosendaal,2-0,Wed 21 Aug ,/match/go-ahead-eagles/rbc/1997,1997,1,eerste_divisie
Emmen,PEC Zwolle,4-1,Wed 21 Aug ,/match/emmen/fc-zwolle/1997,1997,1,eerste_divisie
Heracles,ADO Den Haag,1-1,Wed 21 Aug ,/match/heracles/ado-den-haag/1997,1997,1,eerste_divisie
Helmond Sport,TOP Oss,1-2,Wed 21 Aug ,/match/helmond-sport/fc-oss/1997,1997,1,eerste_divisie
FC Eindhoven,MVV Maastricht,1-1,Sat 24 Aug ,/match/fc-eindhoven/mvv/1997,1997,1,eerste_divisie
BV Veendam ,Helmond Sport,0-0,Sat 24 Aug ,/match/veendam/helmond-sport/1997,1997,2,eerste_divisie
SC Telstar,Go Ahead Eagles,2-4,Sat 24 Aug ,/match/stormvogels-telstar/go-ahead-eagles/1997,1997,2,eerste_divisie
TOP Oss,Heracles,3-1,Sat 24 Aug ,/match/fc-oss/heracles/1997,1997,2,eerste_divisie
VVV Venlo,Dordrecht,2-1,Sat 24 Aug ,/match/vvv/fc-dordrecht/1997,1997,2,eerste_divisie
Excelsior,Cambuur,0-0,Sat 24 Aug ,/match/excelsior/sc-cambuur-leeuwarden/1997,1997,2,eerste_divisie
PEC Zwolle,Den Bosch,1-0,Sat 24 Aug ,/match/fc-zwolle/fc-den-bosch/1997,1997,2,eerste_divisie
RBC Roosendaal,Emmen,2-4,Sat 24 Aug ,/match/rbc/emmen/1997,1997,2,eerste_divisie
ADO Den Haag,HFC Haarlem ,1-0,Sat 24 Aug ,/match/ado-den-haag/haarlem/1997,1997,2,eerste_divisie
Dordrecht,Excelsior,2-1,Tue 03 Sep ,/match/fc-dordrecht/excelsior/1997,1997,2,eerste_divisie
RBC Roosendaal,Den Bosch,2-1,Tue 03 Sep ,/match/rbc/fc-den-bosch/1997,1997,3,eerste_divisie
MVV Maastricht,ADO Den Haag,3-1,Wed 04 Sep ,/match/mvv/ado-den-haag/1997,1997,3,eerste_divisie
FC Eindhoven,Cambuur,0-0,Wed 04 Sep ,/match/fc-eindhoven/sc-cambuur-leeuwarden/1997,1997,3,eerste_divisie
HFC Haarlem ,TOP Oss,1-1,Wed 04 Sep ,/match/haarlem/fc-oss/1997,1997,3,eerste_divisie
Go Ahead Eagles,VVV Venlo,1-0,Wed 04 Sep ,/match/go-ahead-eagles/vvv/1997,1997,3,eerste_divisie
Emmen,SC Telstar,5-1,Wed 04 Sep ,/match/emmen/stormvogels-telstar/1997,1997,3,eerste_divisie
Heracles,Helmond Sport,4-1,Wed 04 Sep ,/match/heracles/helmond-sport/1997,1997,3,eerste_divisie
PEC Zwolle,BV Veendam ,1-1,Wed 04 Sep ,/match/fc-zwolle/veendam/1997,1997,3,eerste_divisie
Dordrecht,FC Eindhoven,0-0,Sat 07 Sep ,/match/fc-dordrecht/fc-eindhoven/1997,1997,3,eerste_divisie
BV Veendam ,Heracles,2-0,Sat 07 Sep ,/match/veendam/heracles/1997,1997,4,eerste_divisie
SC Telstar,Den Bosch,2-3,Sat 07 Sep ,/match/stormvogels-telstar/fc-den-bosch/1997,1997,4,eerste_divisie
TOP Oss,MVV Maastricht,1-1,Sat 07 Sep ,/match/fc-oss/mvv/1997,1997,4,eerste_divisie
Emmen,VVV Venlo,0-0,Sat 07 Sep ,/match/emmen/vvv/1997,1997,4,eerste_divisie
Helmond Sport,HFC Haarlem ,1-0,Sat 07 Sep ,/match/helmond-sport/haarlem/1997,1997,4,eerste_divisie
PEC Zwolle,RBC Roosendaal,2-0,Sat 07 Sep ,/match/fc-zwolle/rbc/1997,1997,4,eerste_divisie
ADO Den Haag,Cambuur,1-0,Sat 07 Sep ,/match/ado-den-haag/sc-cambuur-leeuwarden/1997,1997,4,eerste_divisie
Excelsior,Go Ahead Eagles,0-1,Mon 09 Sep ,/match/excelsior/go-ahead-eagles/1997,1997,4,eerste_divisie
Cambuur,VVV Venlo,2-0,Tue 10 Sep ,/match/sc-cambuur-leeuwarden/vvv/1997,1997,4,eerste_divisie
MVV Maastricht,Helmond Sport,3-2,Sat 14 Sep ,/match/mvv/helmond-sport/1997,1997,5,eerste_divisie
Dordrecht,ADO Den Haag,0-0,Sat 14 Sep ,/match/fc-dordrecht/ado-den-haag/1997,1997,5,eerste_divisie
Cambuur,TOP Oss,1-2,Sat 14 Sep ,/match/sc-cambuur-leeuwarden/fc-oss/1997,1997,5,eerste_divisie
HFC Haarlem ,Heracles,1-3,Sat 14 Sep ,/match/haarlem/heracles/1997,1997,5,eerste_divisie
SC Telstar,PEC Zwolle,2-1,Sat 14 Sep ,/match/stormvogels-telstar/fc-zwolle/1997,1997,5,eerste_divisie
Go Ahead Eagles,FC Eindhoven,0-1,Sat 14 Sep ,/match/go-ahead-eagles/fc-eindhoven/1997,1997,5,eerste_divisie
Emmen,Excelsior,2-1,Sat 14 Sep ,/match/emmen/excelsior/1997,1997,5,eerste_divisie
Den Bosch,VVV Venlo,2-2,Sat 14 Sep ,/match/fc-den-bosch/vvv/1997,1997,5,eerste_divisie
RBC Roosendaal,BV Veendam ,0-1,Sat 14 Sep ,/match/rbc/veendam/1997,1997,5,eerste_divisie
FC Eindhoven,Emmen,2-0,Sat 21 Sep ,/match/fc-eindhoven/emmen/1997,1997,6,eerste_divisie
BV Veendam ,HFC Haarlem ,1-0,Sat 21 Sep ,/match/veendam/haarlem/1997,1997,6,eerste_divisie
TOP Oss,Dordrecht,1-1,Sat 21 Sep ,/match/fc-oss/fc-dordrecht/1997,1997,6,eerste_divisie
VVV Venlo,PEC Zwolle,1-1,Sat 21 Sep ,/match/vvv/fc-zwolle/1997,1997,6,eerste_divisie
Heracles,MVV Maastricht,0-0,Sat 21 Sep ,/match/heracles/mvv/1997,1997,6,eerste_divisie
Helmond Sport,Cambuur,1-4,Sat 21 Sep ,/match/helmond-sport/sc-cambuur-leeuwarden/1997,1997,6,eerste_divisie
Excelsior,Den Bosch,0-1,Sat 21 Sep ,/match/excelsior/fc-den-bosch/1997,1997,6,eerste_divisie
RBC Roosendaal,SC Telstar,1-0,Sat 21 Sep ,/match/rbc/stormvogels-telstar/1997,1997,6,eerste_divisie
ADO Den Haag,Go Ahead Eagles,3-0,Sat 21 Sep ,/match/ado-den-haag/go-ahead-eagles/1997,1997,6,eerste_divisie
MVV Maastricht,HFC Haarlem ,3-0,Sun 29 Sep ,/match/mvv/haarlem/1997,1997,7,eerste_divisie
Dordrecht,Helmond Sport,1-0,Sun 29 Sep ,/match/fc-dordrecht/helmond-sport/1997,1997,7,eerste_divisie
Cambuur,Heracles,1-1,Sun 29 Sep ,/match/sc-cambuur-leeuwarden/heracles/1997,1997,7,eerste_divisie
SC Telstar,BV Veendam ,1-0,Sun 29 Sep ,/match/stormvogels-telstar/veendam/1997,1997,7,eerste_divisie
Go Ahead Eagles,TOP Oss,1-0,Sun 29 Sep ,/match/go-ahead-eagles/fc-oss/1997,1997,7,eerste_divisie
Emmen,ADO Den Haag,2-1,Sun 29 Sep ,/match/emmen/ado-den-haag/1997,1997,7,eerste_divisie
