Home_Team,Away_Team,Result,Date,Link,Year,Round,League
Toulouse,Caen,1-2,Wed 19 Jul ,/match/toulouse-fc/caen/1996,1996,1,ligue_2
FC Mulhouse,Dunkerque,0-0,Wed 19 Jul ,/match/mulhouse/dunkerque/1996,1996,1,ligue_2
Stade Lavallois,Perpignan,1-1,Wed 19 Jul ,/match/stade-lavallois/perpignan/1996,1996,1,ligue_2
Olympique Alès,Amiens SC,1-2,Wed 19 Jul ,/match/olympique-ales/amiens-sc/1996,1996,1,ligue_2
Lorient,Louhans Cuiseaux,2-1,Wed 19 Jul ,/match/lorient/lohuans-cuiseaux/1996,1996,1,ligue_2
Nancy,Angers SCO,1-1,Wed 19 Jul ,/match/nancy/angers-sco/1996,1996,1,ligue_2
Stade Poitevin,Épinal,1-1,Wed 19 Jul ,/match/poitiers/sas-epinal/1996,1996,1,ligue_2
Olympique,Le Mans,3-1,Wed 19 Jul ,/match/olympique-marsella/mans-uc-72/1996,1996,1,ligue_2
Red Star,Sochaux,0-0,Wed 19 Jul ,/match/red-star/sochaux/1996,1996,1,ligue_2
Niort,Charleville,0-1,Wed 19 Jul ,/match/chamois-niortais/charleville/1996,1996,1,ligue_2
Chateauroux,Valence,0-0,Wed 19 Jul ,/match/berrichonne-chateauroux/valence/1996,1996,1,ligue_2
Toulouse,Chateauroux,2-0,Wed 26 Jul ,/match/toulouse-fc/berrichonne-chateauroux/1996,1996,2,ligue_2
Caen,FC Mulhouse,3-1,Wed 26 Jul ,/match/caen/mulhouse/1996,1996,2,ligue_2
Dunkerque,Stade Lavallois,2-2,Wed 26 Jul ,/match/dunkerque/stade-lavallois/1996,1996,2,ligue_2
Perpignan,Olympique Alès,3-2,Wed 26 Jul ,/match/perpignan/olympique-ales/1996,1996,2,ligue_2
Amiens SC,Lorient,3-2,Wed 26 Jul ,/match/amiens-sc/lorient/1996,1996,2,ligue_2
Louhans Cuiseaux,Nancy,0-1,Wed 26 Jul ,/match/lohuans-cuiseaux/nancy/1996,1996,2,ligue_2
Angers SCO,Stade Poitevin,0-0,Wed 26 Jul ,/match/angers-sco/poitiers/1996,1996,2,ligue_2
Épinal,Olympique,2-0,Wed 26 Jul ,/match/sas-epinal/olympique-marsella/1996,1996,2,ligue_2
Le Mans,Red Star,1-1,Wed 26 Jul ,/match/mans-uc-72/red-star/1996,1996,2,ligue_2
Sochaux,Niort,0-0,Wed 26 Jul ,/match/sochaux/chamois-niortais/1996,1996,2,ligue_2
Charleville,Valence,1-1,Wed 26 Jul ,/match/charleville/valence/1996,1996,2,ligue_2
FC Mulhouse,Toulouse,0-0,Sat 29 Jul ,/match/mulhouse/toulouse-fc/1996,1996,3,ligue_2
Stade Lavallois,Caen,1-1,Sat 29 Jul ,/match/stade-lavallois/caen/1996,1996,3,ligue_2
Olympique Alès,Dunkerque,1-1,Sat 29 Jul ,/match/olympique-ales/dunkerque/1996,1996,3,ligue_2
Lorient,Perpignan,0-2,Sat 29 Jul ,/match/lorient/perpignan/1996,1996,3,ligue_2
Nancy,Amiens SC,1-1,Sat 29 Jul ,/match/nancy/amiens-sc/1996,1996,3,ligue_2
Stade Poitevin,Louhans Cuiseaux,2-2,Sat 29 Jul ,/match/poitiers/lohuans-cuiseaux/1996,1996,3,ligue_2
Olympique,Angers SCO,0-0,Sat 29 Jul ,/match/olympique-marsella/angers-sco/1996,1996,3,ligue_2
