Home_Team,Away_Team,Result,Date,Link,Year,Round,League
Porto,Nacional,2-0,Sat 19 Aug ,/match/fc-porto/nacional/1990,1990,1,primeira_liga
Portimonense,Beira Mar SC,2-2,Sat 19 Aug ,/match/portimonense/beira-mar/1990,1990,1,primeira_liga
Feirense,União Madeira,1-0,Sat 19 Aug ,/match/feirense/uniao-madeira/1990,1990,1,primeira_liga
Sporting Braga,Estrela Amadora,1-0,Sat 19 Aug ,/match/sporting-braga/estrela-amadora/1990,1990,1,primeira_liga
Marítimo,Belenenses,0-0,Sun 20 Aug ,/match/maritimo/belenenses/1990,1990,1,primeira_liga
Sporting CP,Vitória,3-2,Sun 20 Aug ,/match/sporting-lisbon/vitoria-guimaraes/1990,1990,1,primeira_liga
Chaves,Penafiel,3-2,Sun 20 Aug ,/match/chaves/penafiel/1990,1990,1,primeira_liga
Tirsense,Boavista,1-1,Sun 20 Aug ,/match/tirsense/boavista/1990,1990,1,primeira_liga
Benfica,Vitória Setúbal,5-1,Wed 13 Dec ,/match/benfica/vitoria-setubal/1990,1990,1,primeira_liga
Penafiel,Porto,0-2,Sat 26 Aug ,/match/penafiel/fc-porto/1990,1990,2,primeira_liga
Boavista,Chaves,2-0,Sat 26 Aug ,/match/boavista/chaves/1990,1990,2,primeira_liga
Vitória Setúbal,Marítimo,2-1,Sat 26 Aug ,/match/vitoria-setubal/maritimo/1990,1990,2,primeira_liga
Vitória,Benfica,1-1,Sat 26 Aug ,/match/vitoria-guimaraes/benfica/1990,1990,2,primeira_liga
Belenenses,Sporting Braga,2-1,Sat 26 Aug ,/match/belenenses/sporting-braga/1990,1990,2,primeira_liga
Beira Mar SC,Sporting CP,0-1,Sun 27 Aug ,/match/beira-mar/sporting-lisbon/1990,1990,2,primeira_liga
Nacional,Portimonense,1-1,Sun 27 Aug ,/match/nacional/portimonense/1990,1990,2,primeira_liga
União Madeira,Tirsense,0-0,Sun 27 Aug ,/match/uniao-madeira/tirsense/1990,1990,2,primeira_liga
Estrela Amadora,Feirense,3-0,Sun 27 Aug ,/match/estrela-amadora/feirense/1990,1990,2,primeira_liga
Tirsense,Estrela Amadora,0-0,Sat 09 Sep ,/match/tirsense/estrela-amadora/1990,1990,3,primeira_liga
Portimonense,Penafiel,2-1,Sat 09 Sep ,/match/portimonense/penafiel/1990,1990,3,primeira_liga
Boavista,União Madeira,5-1,Sat 09 Sep ,/match/boavista/uniao-madeira/1990,1990,3,primeira_liga
Feirense,Belenenses,1-0,Sat 09 Sep ,/match/feirense/belenenses/1990,1990,3,primeira_liga
Sporting Braga,Vitória Setúbal,0-3,Sat 09 Sep ,/match/sporting-braga/vitoria-setubal/1990,1990,3,primeira_liga
Benfica,Beira Mar SC,5-0,Sun 10 Sep ,/match/benfica/beira-mar/1990,1990,3,primeira_liga
Chaves,Porto,1-2,Sun 10 Sep ,/match/chaves/fc-porto/1990,1990,3,primeira_liga
Marítimo,Vitória,2-3,Sun 10 Sep ,/match/maritimo/vitoria-guimaraes/1990,1990,3,primeira_liga
Sporting CP,Nacional,2-0,Sun 10 Sep ,/match/sporting-lisbon/nacional/1990,1990,3,primeira_liga
Belenenses,Tirsense,1-0,Sat 23 Sep ,/match/belenenses/tirsense/1990,1990,4,primeira_liga
União Madeira,Chaves,1-1,Sat 23 Sep ,/match/uniao-madeira/chaves/1990,1990,4,primeira_liga
Nacional,Benfica,1-4,Sat 23 Sep ,/match/nacional/benfica/1990,1990,4,primeira_liga
