Home_Team,Away_Team,Result,Date,Link,Year,Round,League
Gil Vicente,Nacional,2-0,Sun 24 Aug ,/match/gil-vicente/nacional/1998,1998,1,segunda_liga
Academico Viseu,Estoril,1-0,Sun 24 Aug ,/match/academico-viseu/estoril/1998,1998,1,segunda_liga
Torreense,União Madeira,1-0,Sun 24 Aug ,/match/torreense/uniao-madeira/1998,1998,1,segunda_liga
FC Felgueiras,Espinho,2-1,Sun 24 Aug ,/match/fc-felgueiras/espinho/1998,1998,1,segunda_liga
Feirense,União de Leiria,2-2,Sun 24 Aug ,/match/feirense/uniao-leiria/1998,1998,1,segunda_liga
Desportivo Aves,Moreirense,0-1,Sun 24 Aug ,/match/desportivo-aves/moreirense-fc/1998,1998,1,segunda_liga
FC Maia,Uniao Lamas,3-0,Sun 24 Aug ,/match/fc-maia/uniao-lamas/1998,1998,1,segunda_liga
Paços Ferreira,Penafiel,1-1,Sun 24 Aug ,/match/pacos-ferreira/penafiel/1998,1998,1,segunda_liga
Beira Mar SC,Alverca,0-0,Sun 24 Aug ,/match/beira-mar/alverca/1998,1998,1,segunda_liga
Uniao Lamas,Desportivo Aves,4-0,Sun 31 Aug ,/match/uniao-lamas/desportivo-aves/1998,1998,2,segunda_liga
Espinho,Feirense,1-1,Sun 31 Aug ,/match/espinho/feirense/1998,1998,2,segunda_liga
Penafiel,FC Felgueiras,3-2,Sun 31 Aug ,/match/penafiel/fc-felgueiras/1998,1998,2,segunda_liga
Estoril,Beira Mar SC,1-1,Sun 31 Aug ,/match/estoril/beira-mar/1998,1998,2,segunda_liga
União de Leiria,Gil Vicente,0-0,Sun 31 Aug ,/match/uniao-leiria/gil-vicente/1998,1998,2,segunda_liga
Nacional,FC Maia,1-1,Sun 31 Aug ,/match/nacional/fc-maia/1998,1998,2,segunda_liga
Alverca,Paços Ferreira,2-1,Tue 02 Sep ,/match/alverca/pacos-ferreira/1998,1998,2,segunda_liga
