Home_Team,Away_Team,Result,Date,Link,Year,Round,League
Como,Vicenza ,0-0,Sat 03 Sep ,/match/como/vicenza-calcio/1995,1995,1,serie_b
Ascoli,Lucchese Libertas,2-0,Sun 04 Sep ,/match/ascoli/luchese/1995,1995,1,serie_b
Cesena,Hellas Verona,1-3,Sun 04 Sep ,/match/ac-cesena/hellas-verona-fc/1995,1995,1,serie_b
Chievo,Atalanta,1-1,Sun 04 Sep ,/match/chievo/atalanta/1995,1995,1,serie_b
Cosenza Calcio,Venezia,0-1,Sun 04 Sep ,/match/fortitudo-cosenza/venezia/1995,1995,1,serie_b
Lecce,Acireale,0-0,Sun 04 Sep ,/match/lecce/acireale/1995,1995,1,serie_b
Palermo FC,Fidelis Andria,1-1,Sun 04 Sep ,/match/palermo/fidelis-andria/1995,1995,1,serie_b
Perugia,Piacenza,1-1,Sun 04 Sep ,/match/perugia/piacenza/1995,1995,1,serie_b
Pescara,Udinese,1-1,Sun 04 Sep ,/match/pescara-calcio/udinese/1995,1995,1,serie_b
Salernitana,Ancona,2-0,Sun 04 Sep ,/match/salernitana-calcio-1919/ancona/1995,1995,1,serie_b
Piacenza,Cosenza Calcio,0-0,Sat 10 Sep ,/match/piacenza/fortitudo-cosenza/1995,1995,2,serie_b
Acireale,Pescara,2-0,Sun 11 Sep ,/match/acireale/pescara-calcio/1995,1995,2,serie_b
Ancona,Lecce,3-0,Sun 11 Sep ,/match/ancona/lecce/1995,1995,2,serie_b
Atalanta,Ascoli,1-0,Sun 11 Sep ,/match/atalanta/ascoli/1995,1995,2,serie_b
Fidelis Andria,Cesena,1-1,Sun 11 Sep ,/match/fidelis-andria/ac-cesena/1995,1995,2,serie_b
Lucchese Libertas,Perugia,1-1,Sun 11 Sep ,/match/luchese/perugia/1995,1995,2,serie_b
Udinese,Chievo,1-0,Sun 11 Sep ,/match/udinese/chievo/1995,1995,2,serie_b
Venezia,Como,0-1,Sun 11 Sep ,/match/venezia/como/1995,1995,2,serie_b
Hellas Verona,Palermo FC,1-0,Sun 11 Sep ,/match/hellas-verona-fc/palermo/1995,1995,2,serie_b
Vicenza ,Salernitana,2-0,Sun 11 Sep ,/match/vicenza-calcio/salernitana-calcio-1919/1995,1995,2,serie_b
Vicenza ,Piacenza,0-0,Sat 17 Sep ,/match/vicenza-calcio/piacenza/1995,1995,3,serie_b
Ascoli,Perugia,1-1,Sun 18 Sep ,/match/ascoli/perugia/1995,1995,3,serie_b
Cesena,Lucchese Libertas,3-0,Sun 18 Sep ,/match/ac-cesena/luchese/1995,1995,3,serie_b
Chievo,Fidelis Andria,1-2,Sun 18 Sep ,/match/chievo/fidelis-andria/1995,1995,3,serie_b
Como,Atalanta,0-0,Sun 18 Sep ,/match/como/atalanta/1995,1995,3,serie_b
Cosenza Calcio,Udinese,1-0,Sun 18 Sep ,/match/fortitudo-cosenza/udinese/1995,1995,3,serie_b
Palermo FC,Acireale,0-0,Sun 18 Sep ,/match/palermo/acireale/1995,1995,3,serie_b
Pescara,Hellas Verona,0-0,Sun 18 Sep ,/match/pescara-calcio/hellas-verona-fc/1995,1995,3,serie_b
Salernitana,Lecce,1-1,Sun 18 Sep ,/match/salernitana-calcio-1919/lecce/1995,1995,3,serie_b
Venezia,Ancona,1-0,Sun 18 Sep ,/match/venezia/ancona/1995,1995,3,serie_b
Ancona,Pescara,3-3,Sat 24 Sep ,/match/ancona/pescara-calcio/1995,1995,4,serie_b
Acireale,Chievo,0-3,Sun 25 Sep ,/match/acireale/chievo/1995,1995,4,serie_b
Atalanta,Venezia,0-3,Sun 25 Sep ,/match/atalanta/venezia/1995,1995,4,serie_b
Fidelis Andria,Ascoli,3-1,Sun 25 Sep ,/match/fidelis-andria/ascoli/1995,1995,4,serie_b
Lecce,Cesena,0-0,Sun 25 Sep ,/match/lecce/ac-cesena/1995,1995,4,serie_b
