Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away
Sporting Braga,Portimonense,3-1,/match/sporting-braga/portimonense/2011,2011,1,primeira_liga,16,30,0,3,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Marítimo,Vitória Setúbal,0-1,/match/maritimo/vitoria-setubal/2011,2011,1,primeira_liga,16,30,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Naval,Porto,0-1,/match/naval/fc-porto/2011,2011,1,primeira_liga,16,30,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Paços Ferreira,Sporting CP,1-0,/match/pacos-ferreira/sporting-lisbon/2011,2011,1,primeira_liga,16,30,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Rio Ave,Nacional,0-1,/match/rio-ave/nacional/2011,2011,1,primeira_liga,16,30,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Beira Mar SC,União de Leiria,0-0,/match/beira-mar/uniao-leiria/2011,2011,1,primeira_liga,16,30,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Benfica,Académica,1-2,/match/benfica/academica/2011,2011,1,primeira_liga,16,30,2,1,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Olhanense,Vitória,0-0,/match/sc-olhanense/vitoria-guimaraes/2011,2011,1,primeira_liga,16,30,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Académica,Olhanense,1-1,/match/academica/sc-olhanense/2011,2011,2,primeira_liga,16,30,1,1,1,5,3,1,0,0,2,1,W,0,0,0,0,0,9,1,0,1,0,0,0,D,0,0,0,0,0,,
Vitória Setúbal,Sporting Braga,0-0,/match/vitoria-setubal/sporting-braga/2011,2011,2,primeira_liga,16,30,1,0,0,4,3,1,0,0,1,0,W,0,0,0,0,0,6,3,1,0,0,3,1,W,0,0,0,0,0,,
Nacional,Benfica,2-1,/match/nacional/benfica/2011,2011,2,primeira_liga,16,30,0,2,1,3,3,1,0,0,1,0,W,0,0,0,0,0,12,0,0,0,1,1,2,L,0,0,0,0,0,,
Portimonense,Naval,0-1,/match/portimonense/naval/2011,2011,2,primeira_liga,16,30,2,0,1,13,0,0,0,1,1,3,L,0,0,0,0,0,14,0,0,0,1,0,1,L,0,0,0,0,0,,
União de Leiria,Paços Ferreira,0-0,/match/uniao-leiria/pacos-ferreira/2011,2011,2,primeira_liga,16,30,1,0,0,7,1,0,1,0,0,0,D,0,0,0,0,0,1,3,1,0,0,1,0,W,0,0,0,0,0,,
Sporting CP,Marítimo,1-0,/match/sporting-lisbon/maritimo/2011,2011,2,primeira_liga,16,30,0,1,0,11,0,0,0,1,0,1,L,0,0,0,0,0,16,0,0,0,1,0,1,L,0,0,0,0,0,,
Porto,Beira Mar SC,3-0,/match/fc-porto/beira-mar/2011,2011,2,primeira_liga,16,30,0,3,0,2,3,1,0,0,1,0,W,0,0,0,0,0,8,1,0,1,0,0,0,D,0,0,0,0,0,,
Vitória,Rio Ave,0-0,/match/vitoria-guimaraes/rio-ave/2011,2011,2,primeira_liga,16,30,1,0,0,10,1,0,1,0,0,0,D,0,0,0,0,0,15,0,0,0,1,0,1,L,0,0,0,0,0,,
Nacional,Vitória,1-3,/match/nacional/vitoria-guimaraes/2011,2011,3,primeira_liga,16,30,2,1,3,2,6,2,0,0,3,1,WW,1,0,0,2,1,11,2,0,2,0,0,0,DD,0,1,0,0,0,W,D
Benfica,Vitória Setúbal,3-0,/match/benfica/vitoria-setubal/2011,2011,3,primeira_liga,16,30,0,3,0,14,0,0,0,2,2,4,LL,0,0,1,1,2,4,4,1,1,0,1,0,WD,1,0,0,1,0,L,W
Paços Ferreira,Portimonense,2-2,/match/pacos-ferreira/portimonense/2011,2011,3,primeira_liga,16,30,1,2,2,3,4,1,1,0,1,0,WD,1,0,0,1,0,15,0,0,0,2,1,4,LL,0,0,1,1,3,W,L
Beira Mar SC,Académica,2-1,/match/beira-mar/academica/2011,2011,3,primeira_liga,16,30,0,2,1,12,1,0,1,1,0,3,DL,0,1,0,0,0,5,4,1,1,0,3,2,WD,1,0,0,2,1,D,W
Sporting Braga,Marítimo,1-0,/match/sporting-braga/maritimo/2011,2011,3,primeira_liga,16,30,0,1,0,6,4,1,1,0,3,1,WD,1,0,0,3,1,16,0,0,0,2,0,2,LL,0,0,1,0,1,W,L
Olhanense,União de Leiria,1-0,/match/sc-olhanense/uniao-leiria/2011,2011,3,primeira_liga,16,30,0,1,0,10,2,0,2,0,1,1,DD,0,1,0,0,0,9,2,0,2,0,0,0,DD,0,1,0,0,0,D,D
Rio Ave,Porto,0-2,/match/rio-ave/fc-porto/2011,2011,3,primeira_liga,16,30,2,0,2,13,1,0,1,1,0,1,LD,0,0,1,0,1,1,6,2,0,0,4,0,WW,1,0,0,1,0,L,W
Naval,Sporting CP,1-3,/match/naval/sporting-lisbon/2011,2011,3,primeira_liga,16,30,2,1,3,8,3,1,0,1,1,1,LW,0,0,1,0,1,7,3,1,0,1,1,1,LW,0,0,1,0,1,L,L
Vitória,Benfica,2-1,/match/vitoria-guimaraes/benfica/2011,2011,4,primeira_liga,16,30,0,2,1,7,5,1,2,0,3,1,DDW,0,1,0,0,0,12,3,1,0,2,5,4,LLW,0,0,1,1,2,D,L
Sporting CP,Olhanense,0-0,/match/sporting-lisbon/sc-olhanense/2011,2011,4,primeira_liga,16,30,1,0,0,4,6,2,0,1,4,2,LWW,1,0,0,1,0,6,5,1,2,0,2,1,DDW,0,1,0,1,1,W,D
Porto,Sporting Braga,3-2,/match/fc-porto/sporting-braga/2011,2011,4,primeira_liga,16,30,0,3,2,1,9,3,0,0,6,0,WWW,1,0,0,3,0,2,7,2,1,0,4,1,WDW,0,1,0,0,0,W,D
Marítimo,Paços Ferreira,1-1,/match/maritimo/pacos-ferreira/2011,2011,4,primeira_liga,16,30,1,1,1,16,0,0,0,3,0,3,LLL,0,0,1,0,1,5,5,1,2,0,3,2,WDD,0,1,0,0,0,L,D
Portimonense,Rio Ave,3-1,/match/portimonense/rio-ave/2011,2011,4,primeira_liga,16,30,0,3,1,15,1,0,1,2,3,6,LLD,0,0,1,0,1,14,1,0,1,2,0,3,LDL,0,1,0,0,0,L,D
União de Leiria,Nacional,2-1,/match/uniao-leiria/nacional/2011,2011,4,primeira_liga,16,30,0,2,1,13,2,0,2,1,0,1,DDL,0,1,0,0,0,3,6,2,0,1,4,4,WWL,1,0,0,1,0,D,W
Académica,Naval,3-0,/match/academica/naval/2011,2011,4,primeira_liga,16,30,0,3,0,9,4,1,1,1,4,4,WDL,0,1,0,1,1,11,3,1,0,2,2,4,LWL,1,0,0,1,0,D,W
Vitória Setúbal,Beira Mar SC,0-0,/match/vitoria-setubal/beira-mar/2011,2011,4,primeira_liga,16,30,1,0,0,8,4,1,1,1,1,3,WDL,0,1,0,0,0,10,4,1,1,1,2,4,DLW,0,0,1,0,3,D,L
Olhanense,Portimonense,2-0,/match/sc-olhanense/portimonense/2011,2011,5,primeira_liga,16,30,0,2,0,8,6,1,3,0,2,1,DDWD,1,1,0,1,0,12,4,1,1,2,6,7,LLDW,0,1,1,3,5,DW,LD
Beira Mar SC,Marítimo,1-1,/match/beira-mar/maritimo/2011,2011,5,primeira_liga,16,30,1,1,1,10,5,1,2,1,2,4,DLWD,1,1,0,2,1,16,1,0,1,3,1,4,LLLD,0,0,2,0,2,DW,LL
Vitória,União de Leiria,1-0,/match/vitoria-guimaraes/uniao-leiria/2011,2011,5,primeira_liga,16,30,0,1,0,2,8,2,2,0,5,2,DDWW,1,1,0,2,1,11,5,1,2,1,2,2,DDLW,0,1,1,0,1,DW,DL
Rio Ave,Académica,2-2,/match/rio-ave/academica/2011,2011,5,primeira_liga,16,30,1,2,2,15,1,0,1,3,1,6,LDLL,0,0,2,0,3,5,7,2,1,1,7,4,WDLW,1,0,1,3,3,LL,WL
Naval,Vitória Setúbal,0-0,/match/naval/vitoria-setubal/2011,2011,5,primeira_liga,16,30,1,0,0,13,3,1,0,3,2,7,LWLL,0,0,2,1,4,9,5,1,2,1,1,3,WDLD,1,0,1,1,3,LL,WL
Paços Ferreira,Sporting Braga,2-2,/match/pacos-ferreira/sporting-braga/2011,2011,5,primeira_liga,16,30,1,2,2,7,6,1,3,0,4,3,WDDD,1,1,0,3,2,3,7,2,1,1,6,4,WDWL,0,1,1,2,3,WD,DL
Benfica,Sporting CP,2-0,/match/benfica/sporting-lisbon/2011,2011,5,primeira_liga,16,30,0,2,0,14,3,1,0,3,6,6,LLWL,1,0,1,4,2,4,7,2,1,1,4,2,LWWD,1,0,1,3,2,LW,LW
Nacional,Porto,0-2,/match/nacional/fc-porto/2011,2011,5,primeira_liga,16,30,2,0,2,6,6,2,0,2,5,6,WWLL,1,0,1,3,4,1,12,4,0,0,9,2,WWWW,2,0,0,3,0,WL,WW
Sporting Braga,Naval,3-1,/match/sporting-braga/naval/2011,2011,6,primeira_liga,16,30,0,3,1,4,8,2,2,1,8,6,WDWLD,2,0,0,4,1,14,4,1,1,3,2,7,LWLLD,1,0,1,1,3,WW,WL
Académica,Vitória,3-1,/match/academica/vitoria-guimaraes/2011,2011,6,primeira_liga,16,30,0,3,1,5,8,2,2,1,9,6,WDLWD,1,1,0,4,1,2,11,3,2,0,6,2,DDWWW,1,1,0,3,1,DW,DW
Marítimo,Benfica,0-1,/match/maritimo/benfica/2011,2011,6,primeira_liga,16,30,2,0,1,16,2,0,2,3,2,5,LLLDD,0,1,1,1,2,11,6,2,0,3,8,6,LLWLW,0,0,2,2,4,LD,LL
