Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away
Como,Vicenza ,0-0,/match/como/vicenza-calcio/1995,1995,1,serie_b,20,38,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Ascoli,Lucchese Libertas,2-0,/match/ascoli/luchese/1995,1995,1,serie_b,20,38,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Cesena,Hellas Verona,1-3,/match/ac-cesena/hellas-verona-fc/1995,1995,1,serie_b,20,38,2,1,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Chievo,Atalanta,1-1,/match/chievo/atalanta/1995,1995,1,serie_b,20,38,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Cosenza Calcio,Venezia,0-1,/match/fortitudo-cosenza/venezia/1995,1995,1,serie_b,20,38,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Lecce,Acireale,0-0,/match/lecce/acireale/1995,1995,1,serie_b,20,38,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Palermo FC,Fidelis Andria,1-1,/match/palermo/fidelis-andria/1995,1995,1,serie_b,20,38,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Perugia,Piacenza,1-1,/match/perugia/piacenza/1995,1995,1,serie_b,20,38,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Pescara,Udinese,1-1,/match/pescara-calcio/udinese/1995,1995,1,serie_b,20,38,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Salernitana,Ancona,2-0,/match/salernitana-calcio-1919/ancona/1995,1995,1,serie_b,20,38,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Piacenza,Cosenza Calcio,0-0,/match/piacenza/fortitudo-cosenza/1995,1995,2,serie_b,20,38,1,0,0,15,1,0,1,0,1,1,D,0,0,0,0,0,17,0,0,0,1,0,1,L,0,0,0,0,0,,
Acireale,Pescara,2-0,/match/acireale/pescara-calcio/1995,1995,2,serie_b,20,38,0,2,0,11,1,0,1,0,0,0,D,0,0,0,0,0,12,1,0,1,0,1,1,D,0,0,0,0,0,,
Ancona,Lecce,3-0,/match/ancona/lecce/1995,1995,2,serie_b,20,38,0,3,0,18,0,0,0,1,0,2,L,0,0,0,0,0,16,1,0,1,0,0,0,D,0,0,0,0,0,,
