Position,Team,Points,Round,Win,Draw,Lose,Goals_For,Goals_Against,Number_Teams,Year,League
1,MVV Maastricht,4,2,1,1,0,4,1,18,1997,eerste_divisie
2,FC Eindhoven,4,2,1,1,0,3,2,18,1997,eerste_divisie
3,Emmen,3,1,1,0,0,4,1,18,1997,eerste_divisie
4,Go Ahead Eagles,3,1,1,0,0,2,0,18,1997,eerste_divisie
5,TOP Oss,3,1,1,0,0,2,1,18,1997,eerste_divisie
6,Dordrecht,3,1,1,0,0,2,1,18,1997,eerste_divisie
7,BV Veendam ,3,1,1,0,0,1,0,18,1997,eerste_divisie
8,Heracles,1,1,0,1,0,1,1,18,1997,eerste_divisie
9,ADO Den Haag,1,1,0,1,0,1,1,18,1997,eerste_divisie
10,Cambuur,0,0,0,0,0,0,0,18,1997,eerste_divisie
11,VVV Venlo,0,0,0,0,0,0,0,18,1997,eerste_divisie
12,SC Telstar,0,1,0,0,1,1,2,18,1997,eerste_divisie
13,Helmond Sport,0,1,0,0,1,1,2,18,1997,eerste_divisie
14,HFC Haarlem ,0,1,0,0,1,1,2,18,1997,eerste_divisie
15,Den Bosch,0,1,0,0,1,0,1,18,1997,eerste_divisie
16,RBC Roosendaal,0,1,0,0,1,0,2,18,1997,eerste_divisie
17,PEC Zwolle,0,1,0,0,1,1,4,18,1997,eerste_divisie
18,Excelsior,0,1,0,0,1,0,3,18,1997,eerste_divisie
1,Emmen,6,2,2,0,0,8,3,18,1997,eerste_divisie
2,Go Ahead Eagles,6,2,2,0,0,6,2,18,1997,eerste_divisie
3,TOP Oss,6,2,2,0,0,5,2,18,1997,eerste_divisie
4,Dordrecht,6,3,2,0,1,5,4,18,1997,eerste_divisie
5,MVV Maastricht,4,2,1,1,0,4,1,18,1997,eerste_divisie
6,FC Eindhoven,4,2,1,1,0,3,2,18,1997,eerste_divisie
7,ADO Den Haag,4,2,1,1,0,2,1,18,1997,eerste_divisie
8,BV Veendam ,4,2,1,1,0,1,0,18,1997,eerste_divisie
9,VVV Venlo,3,1,1,0,0,2,1,18,1997,eerste_divisie
10,PEC Zwolle,3,2,1,0,1,2,4,18,1997,eerste_divisie
11,Cambuur,1,1,0,1,0,0,0,18,1997,eerste_divisie
12,Helmond Sport,1,2,0,1,1,1,2,18,1997,eerste_divisie
13,Heracles,1,2,0,1,1,2,4,18,1997,eerste_divisie
14,Excelsior,1,3,0,1,2,1,5,18,1997,eerste_divisie
15,HFC Haarlem ,0,2,0,0,2,1,3,18,1997,eerste_divisie
16,Den Bosch,0,2,0,0,2,0,2,18,1997,eerste_divisie
17,SC Telstar,0,2,0,0,2,3,6,18,1997,eerste_divisie
18,RBC Roosendaal,0,2,0,0,2,2,6,18,1997,eerste_divisie
1,Emmen,9,3,3,0,0,13,4,18,1997,eerste_divisie
2,Go Ahead Eagles,9,3,3,0,0,7,2,18,1997,eerste_divisie
3,MVV Maastricht,7,3,2,1,0,7,2,18,1997,eerste_divisie
4,TOP Oss,7,3,2,1,0,6,3,18,1997,eerste_divisie
5,Dordrecht,7,4,2,1,1,5,4,18,1997,eerste_divisie
6,FC Eindhoven,6,4,1,3,0,3,2,18,1997,eerste_divisie
7,BV Veendam ,5,3,1,2,0,2,1,18,1997,eerste_divisie
8,Heracles,4,3,1,1,1,6,5,18,1997,eerste_divisie
9,ADO Den Haag,4,3,1,1,1,3,4,18,1997,eerste_divisie
10,PEC Zwolle,4,3,1,1,1,3,5,18,1997,eerste_divisie
11,VVV Venlo,3,2,1,0,1,2,2,18,1997,eerste_divisie
12,RBC Roosendaal,3,3,1,0,2,4,7,18,1997,eerste_divisie
13,Cambuur,2,2,0,2,0,0,0,18,1997,eerste_divisie
14,HFC Haarlem ,1,3,0,1,2,2,4,18,1997,eerste_divisie
15,Helmond Sport,1,3,0,1,2,2,6,18,1997,eerste_divisie
16,Excelsior,1,3,0,1,2,1,5,18,1997,eerste_divisie
17,Den Bosch,0,3,0,0,3,1,4,18,1997,eerste_divisie
18,SC Telstar,0,3,0,0,3,4,11,18,1997,eerste_divisie
1,Go Ahead Eagles,12,4,4,0,0,8,2,18,1997,eerste_divisie
2,Emmen,10,4,3,1,0,13,4,18,1997,eerste_divisie
3,MVV Maastricht,8,4,2,2,0,8,3,18,1997,eerste_divisie
4,TOP Oss,8,4,2,2,0,7,4,18,1997,eerste_divisie
5,BV Veendam ,8,4,2,2,0,4,1,18,1997,eerste_divisie
6,Dordrecht,7,4,2,1,1,5,4,18,1997,eerste_divisie
7,PEC Zwolle,7,4,2,1,1,5,5,18,1997,eerste_divisie
8,ADO Den Haag,7,4,2,1,1,4,4,18,1997,eerste_divisie
9,FC Eindhoven,6,4,1,3,0,3,2,18,1997,eerste_divisie
10,Cambuur,5,4,1,2,1,2,1,18,1997,eerste_divisie
11,Heracles,4,4,1,1,2,6,7,18,1997,eerste_divisie
12,VVV Venlo,4,4,1,1,2,2,4,18,1997,eerste_divisie
13,Helmond Sport,4,4,1,1,2,3,6,18,1997,eerste_divisie
14,Den Bosch,3,4,1,0,3,4,6,18,1997,eerste_divisie
15,RBC Roosendaal,3,4,1,0,3,4,9,18,1997,eerste_divisie
16,HFC Haarlem ,1,4,0,1,3,2,5,18,1997,eerste_divisie
17,Excelsior,1,4,0,1,3,1,6,18,1997,eerste_divisie
18,SC Telstar,0,4,0,0,4,6,14,18,1997,eerste_divisie
1,Emmen,13,5,4,1,0,15,5,18,1997,eerste_divisie
2,Go Ahead Eagles,12,5,4,0,1,8,3,18,1997,eerste_divisie
3,MVV Maastricht,11,5,3,2,0,11,5,18,1997,eerste_divisie
4,TOP Oss,11,5,3,2,0,9,5,18,1997,eerste_divisie
5,BV Veendam ,11,5,3,2,0,5,1,18,1997,eerste_divisie
6,FC Eindhoven,9,5,2,3,0,4,2,18,1997,eerste_divisie
7,Dordrecht,8,5,2,2,1,5,4,18,1997,eerste_divisie
8,ADO Den Haag,8,5,2,2,1,4,4,18,1997,eerste_divisie
9,Heracles,7,5,2,1,2,9,8,18,1997,eerste_divisie
10,PEC Zwolle,7,5,2,1,2,6,7,18,1997,eerste_divisie
11,Cambuur,5,5,1,2,2,3,3,18,1997,eerste_divisie
12,VVV Venlo,5,5,1,2,2,4,6,18,1997,eerste_divisie
13,Den Bosch,4,5,1,1,3,6,8,18,1997,eerste_divisie
14,Helmond Sport,4,5,1,1,3,5,9,18,1997,eerste_divisie
15,RBC Roosendaal,3,5,1,0,4,4,10,18,1997,eerste_divisie
16,SC Telstar,3,5,1,0,4,8,15,18,1997,eerste_divisie
17,HFC Haarlem ,1,5,0,1,4,3,8,18,1997,eerste_divisie
18,Excelsior,1,5,0,1,4,2,8,18,1997,eerste_divisie
1,BV Veendam ,14,6,4,2,0,6,1,18,1997,eerste_divisie
2,Emmen,13,6,4,1,1,15,7,18,1997,eerste_divisie
3,MVV Maastricht,12,6,3,3,0,11,5,18,1997,eerste_divisie
4,TOP Oss,12,6,3,3,0,10,6,18,1997,eerste_divisie
5,FC Eindhoven,12,6,3,3,0,6,2,18,1997,eerste_divisie
6,Go Ahead Eagles,12,6,4,0,2,8,6,18,1997,eerste_divisie
7,ADO Den Haag,11,6,3,2,1,7,4,18,1997,eerste_divisie
8,Dordrecht,9,6,2,3,1,6,5,18,1997,eerste_divisie
9,Cambuur,8,6,2,2,2,7,4,18,1997,eerste_divisie
10,Heracles,8,6,2,2,2,9,8,18,1997,eerste_divisie
11,PEC Zwolle,8,6,2,2,2,7,8,18,1997,eerste_divisie
12,Den Bosch,7,6,2,1,3,7,8,18,1997,eerste_divisie
13,VVV Venlo,6,6,1,3,2,5,7,18,1997,eerste_divisie
14,RBC Roosendaal,6,6,2,0,4,5,10,18,1997,eerste_divisie
15,Helmond Sport,4,6,1,1,4,6,13,18,1997,eerste_divisie
16,SC Telstar,3,6,1,0,5,8,16,18,1997,eerste_divisie
17,HFC Haarlem ,1,6,0,1,5,3,9,18,1997,eerste_divisie
18,Excelsior,1,6,0,1,5,2,9,18,1997,eerste_divisie
1,Emmen,16,7,5,1,1,17,8,18,1997,eerste_divisie
2,MVV Maastricht,15,7,4,3,0,14,5,18,1997,eerste_divisie
3,Go Ahead Eagles,15,7,5,0,2,9,6,18,1997,eerste_divisie
4,BV Veendam ,14,7,4,2,1,6,2,18,1997,eerste_divisie
5,TOP Oss,12,7,3,3,1,10,7,18,1997,eerste_divisie
6,FC Eindhoven,12,7,3,3,1,6,3,18,1997,eerste_divisie
7,Dordrecht,12,7,3,3,1,7,5,18,1997,eerste_divisie
8,ADO Den Haag,11,7,3,2,2,8,6,18,1997,eerste_divisie
9,PEC Zwolle,11,7,3,2,2,10,9,18,1997,eerste_divisie
10,Den Bosch,10,7,3,1,3,8,8,18,1997,eerste_divisie
11,Cambuur,9,7,2,3,2,8,5,18,1997,eerste_divisie
12,Heracles,9,7,2,3,2,10,9,18,1997,eerste_divisie
13,RBC Roosendaal,9,7,3,0,4,6,10,18,1997,eerste_divisie
14,VVV Venlo,6,7,1,3,3,5,8,18,1997,eerste_divisie
15,SC Telstar,6,7,2,0,5,9,16,18,1997,eerste_divisie
16,Helmond Sport,4,7,1,1,5,6,14,18,1997,eerste_divisie
17,Excelsior,1,7,0,1,6,3,12,18,1997,eerste_divisie
18,HFC Haarlem ,1,7,0,1,6,3,12,18,1997,eerste_divisie
1,Emmen,19,8,6,1,1,20,10,18,1997,eerste_divisie
2,Go Ahead Eagles,18,8,6,0,2,14,6,18,1997,eerste_divisie
3,BV Veendam ,17,8,5,2,1,10,2,18,1997,eerste_divisie
4,MVV Maastricht,15,8,4,3,1,14,9,18,1997,eerste_divisie
5,Dordrecht,15,8,4,3,1,8,5,18,1997,eerste_divisie
6,PEC Zwolle,14,8,4,2,2,12,10,18,1997,eerste_divisie
7,Cambuur,12,8,3,3,2,10,5,18,1997,eerste_divisie
8,TOP Oss,12,8,3,3,2,12,10,18,1997,eerste_divisie
9,ADO Den Haag,12,8,3,3,2,9,7,18,1997,eerste_divisie
10,FC Eindhoven,12,8,3,3,2,7,5,18,1997,eerste_divisie
11,Den Bosch,11,8,3,2,3,9,9,18,1997,eerste_divisie
12,VVV Venlo,9,8,2,3,3,10,9,18,1997,eerste_divisie
13,Heracles,9,8,2,3,3,10,10,18,1997,eerste_divisie
14,RBC Roosendaal,9,8,3,0,5,6,11,18,1997,eerste_divisie
15,SC Telstar,6,8,2,0,6,10,21,18,1997,eerste_divisie
16,Excelsior,4,8,1,1,6,4,12,18,1997,eerste_divisie
17,Helmond Sport,4,8,1,1,6,6,19,18,1997,eerste_divisie
18,HFC Haarlem ,1,8,0,1,7,3,14,18,1997,eerste_divisie
1,Go Ahead Eagles,21,9,7,0,2,16,7,18,1997,eerste_divisie
2,Emmen,20,9,6,2,1,20,10,18,1997,eerste_divisie
3,MVV Maastricht,18,9,5,3,1,17,9,18,1997,eerste_divisie
4,Dordrecht,18,9,5,3,1,12,6,18,1997,eerste_divisie
5,BV Veendam ,17,9,5,2,2,10,3,18,1997,eerste_divisie
6,TOP Oss,15,9,4,3,2,15,11,18,1997,eerste_divisie
7,ADO Den Haag,15,9,4,3,2,10,7,18,1997,eerste_divisie
8,PEC Zwolle,14,9,4,2,3,12,11,18,1997,eerste_divisie
9,VVV Venlo,12,9,3,3,3,11,9,18,1997,eerste_divisie
10,Cambuur,12,9,3,3,3,10,8,18,1997,eerste_divisie
11,FC Eindhoven,12,9,3,3,3,11,10,18,1997,eerste_divisie
12,RBC Roosendaal,12,9,4,0,5,11,15,18,1997,eerste_divisie
13,Den Bosch,11,9,3,2,4,10,12,18,1997,eerste_divisie
14,Heracles,9,9,2,3,4,11,12,18,1997,eerste_divisie
15,SC Telstar,9,9,3,0,6,13,22,18,1997,eerste_divisie
16,Helmond Sport,5,9,1,2,6,6,19,18,1997,eerste_divisie
17,Excelsior,4,9,1,1,7,5,15,18,1997,eerste_divisie
18,HFC Haarlem ,1,9,0,1,8,4,18,18,1997,eerste_divisie
1,Go Ahead Eagles,22,10,7,1,2,17,8,18,1997,eerste_divisie
2,Dordrecht,21,10,6,3,1,14,7,18,1997,eerste_divisie
3,Emmen,20,10,6,2,2,21,12,18,1997,eerste_divisie
4,MVV Maastricht,18,10,5,3,2,18,11,18,1997,eerste_divisie
5,BV Veendam ,18,10,5,3,2,11,4,18,1997,eerste_divisie
6,TOP Oss,18,10,5,3,2,17,12,18,1997,eerste_divisie
7,ADO Den Haag,18,10,5,3,2,12,8,18,1997,eerste_divisie
8,PEC Zwolle,14,10,4,2,4,13,13,18,1997,eerste_divisie
9,Den Bosch,14,10,4,2,4,13,13,18,1997,eerste_divisie
10,VVV Venlo,13,10,3,4,3,11,9,18,1997,eerste_divisie
11,Cambuur,13,10,3,4,3,11,9,18,1997,eerste_divisie
12,FC Eindhoven,13,10,3,4,3,14,13,18,1997,eerste_divisie
13,Heracles,12,10,3,3,4,13,13,18,1997,eerste_divisie
14,RBC Roosendaal,12,10,4,0,6,12,17,18,1997,eerste_divisie
15,SC Telstar,10,10,3,1,6,16,25,18,1997,eerste_divisie
16,Excelsior,5,10,1,2,7,5,15,18,1997,eerste_divisie
17,Helmond Sport,5,10,1,2,7,7,22,18,1997,eerste_divisie
18,HFC Haarlem ,2,10,0,2,8,5,19,18,1997,eerste_divisie
1,Emmen,23,11,7,2,2,25,13,18,1997,eerste_divisie
2,Go Ahead Eagles,23,11,7,2,2,19,10,18,1997,eerste_divisie
3,BV Veendam ,21,11,6,3,2,14,4,18,1997,eerste_divisie
4,TOP Oss,21,11,6,3,2,20,13,18,1997,eerste_divisie
5,Dordrecht,21,11,6,3,2,16,10,18,1997,eerste_divisie
6,MVV Maastricht,19,11,5,4,2,20,13,18,1997,eerste_divisie
7,ADO Den Haag,19,11,5,4,2,12,8,18,1997,eerste_divisie
8,PEC Zwolle,17,11,5,2,4,19,14,18,1997,eerste_divisie
9,Den Bosch,17,11,5,2,4,16,15,18,1997,eerste_divisie
10,Cambuur,16,11,4,4,3,14,11,18,1997,eerste_divisie
11,VVV Venlo,16,11,4,4,3,13,10,18,1997,eerste_divisie
12,FC Eindhoven,13,11,3,4,4,15,15,18,1997,eerste_divisie
13,Heracles,12,11,3,3,5,15,16,18,1997,eerste_divisie
14,RBC Roosendaal,12,11,4,0,7,13,20,18,1997,eerste_divisie
15,SC Telstar,11,11,3,2,6,16,25,18,1997,eerste_divisie
16,Excelsior,5,11,1,2,8,5,18,18,1997,eerste_divisie
17,Helmond Sport,5,11,1,2,8,8,28,18,1997,eerste_divisie
18,HFC Haarlem ,2,11,0,2,9,6,23,18,1997,eerste_divisie
1,Emmen,26,12,8,2,2,28,15,18,1997,eerste_divisie
2,Go Ahead Eagles,26,12,8,2,2,23,11,18,1997,eerste_divisie
3,TOP Oss,22,12,6,4,2,21,14,18,1997,eerste_divisie
4,BV Veendam ,21,12,6,3,3,17,9,18,1997,eerste_divisie
5,Dordrecht,21,12,6,3,3,17,14,18,1997,eerste_divisie
6,PEC Zwolle,20,12,6,2,4,22,14,18,1997,eerste_divisie
7,MVV Maastricht,20,12,5,5,2,21,14,18,1997,eerste_divisie
8,ADO Den Haag,19,12,5,4,3,13,10,18,1997,eerste_divisie
9,Den Bosch,18,12,5,3,4,17,16,18,1997,eerste_divisie
10,VVV Venlo,17,12,4,5,3,14,11,18,1997,eerste_divisie
11,FC Eindhoven,16,12,4,4,4,20,18,18,1997,eerste_divisie
12,Cambuur,16,12,4,4,4,16,14,18,1997,eerste_divisie
13,Heracles,13,12,3,4,5,15,16,18,1997,eerste_divisie
14,RBC Roosendaal,13,12,4,1,7,13,20,18,1997,eerste_divisie
15,SC Telstar,12,12,3,3,6,18,27,18,1997,eerste_divisie
16,Excelsior,8,12,2,2,8,7,19,18,1997,eerste_divisie
17,Helmond Sport,6,12,1,3,8,10,30,18,1997,eerste_divisie
18,HFC Haarlem ,2,12,0,2,10,6,26,18,1997,eerste_divisie
1,Emmen,29,13,9,2,2,31,16,18,1997,eerste_divisie
2,Go Ahead Eagles,26,13,8,2,3,25,14,18,1997,eerste_divisie
3,BV Veendam ,24,13,7,3,3,18,9,18,1997,eerste_divisie
4,TOP Oss,22,13,6,4,3,21,16,18,1997,eerste_divisie
5,Dordrecht,21,13,6,3,4,17,15,18,1997,eerste_divisie
6,PEC Zwolle,20,13,6,2,5,23,16,18,1997,eerste_divisie
7,MVV Maastricht,20,13,5,5,3,22,17,18,1997,eerste_divisie
8,ADO Den Haag,20,13,5,5,3,14,11,18,1997,eerste_divisie
9,FC Eindhoven,19,13,5,4,4,21,18,18,1997,eerste_divisie
10,Cambuur,19,13,5,4,4,19,16,18,1997,eerste_divisie
11,VVV Venlo,18,13,4,6,3,15,12,18,1997,eerste_divisie
12,Den Bosch,18,13,5,3,5,18,18,18,1997,eerste_divisie
13,Heracles,16,13,4,4,5,17,17,18,1997,eerste_divisie
14,RBC Roosendaal,16,13,5,1,7,15,21,18,1997,eerste_divisie
15,SC Telstar,15,13,4,3,6,20,27,18,1997,eerste_divisie
16,Excelsior,8,13,2,2,9,7,20,18,1997,eerste_divisie
17,Helmond Sport,6,13,1,3,9,11,32,18,1997,eerste_divisie
18,HFC Haarlem ,5,13,1,2,10,8,27,18,1997,eerste_divisie
1,Emmen,32,14,10,2,2,32,16,18,1997,eerste_divisie
2,Go Ahead Eagles,29,14,9,2,3,27,15,18,1997,eerste_divisie
3,TOP Oss,25,14,7,4,3,25,17,18,1997,eerste_divisie
4,BV Veendam ,24,14,7,3,4,19,11,18,1997,eerste_divisie
5,ADO Den Haag,23,14,6,5,3,17,12,18,1997,eerste_divisie
6,Cambuur,22,14,6,4,4,20,16,18,1997,eerste_divisie
7,PEC Zwolle,21,14,6,3,5,24,17,18,1997,eerste_divisie
8,VVV Venlo,21,14,5,6,3,18,12,18,1997,eerste_divisie
9,MVV Maastricht,21,14,5,6,3,23,18,18,1997,eerste_divisie
10,Dordrecht,21,14,6,3,5,17,16,18,1997,eerste_divisie
11,Heracles,19,14,5,4,5,21,17,18,1997,eerste_divisie
12,FC Eindhoven,19,14,5,4,5,22,21,18,1997,eerste_divisie
13,RBC Roosendaal,19,14,6,1,7,16,21,18,1997,eerste_divisie
14,Den Bosch,18,14,5,3,6,18,19,18,1997,eerste_divisie
15,SC Telstar,15,14,4,3,7,20,31,18,1997,eerste_divisie
16,Excelsior,8,14,2,2,10,8,24,18,1997,eerste_divisie
17,Helmond Sport,6,14,1,3,10,11,35,18,1997,eerste_divisie
18,HFC Haarlem ,5,14,1,2,11,8,28,18,1997,eerste_divisie
1,Emmen,33,15,10,3,2,33,17,18,1997,eerste_divisie
2,Go Ahead Eagles,30,15,9,3,3,28,16,18,1997,eerste_divisie
3,ADO Den Haag,26,15,7,5,3,18,12,18,1997,eerste_divisie
4,Cambuur,25,15,7,4,4,23,17,18,1997,eerste_divisie
5,TOP Oss,25,15,7,4,4,25,20,18,1997,eerste_divisie
6,BV Veendam ,24,15,7,3,5,19,12,18,1997,eerste_divisie
7,MVV Maastricht,24,15,6,6,3,25,19,18,1997,eerste_divisie
8,VVV Venlo,22,15,5,7,3,19,13,18,1997,eerste_divisie
9,FC Eindhoven,22,15,6,4,5,25,21,18,1997,eerste_divisie
10,PEC Zwolle,21,15,6,3,6,25,20,18,1997,eerste_divisie
11,Den Bosch,21,15,6,3,6,22,20,18,1997,eerste_divisie
12,Dordrecht,21,15,6,3,6,18,20,18,1997,eerste_divisie
13,Heracles,20,15,5,5,5,22,18,18,1997,eerste_divisie
14,RBC Roosendaal,19,15,6,1,8,17,23,18,1997,eerste_divisie
15,SC Telstar,16,15,4,4,7,20,31,18,1997,eerste_divisie
16,Helmond Sport,9,15,2,3,10,13,36,18,1997,eerste_divisie
17,Excelsior,8,15,2,2,11,9,26,18,1997,eerste_divisie
18,HFC Haarlem ,6,15,1,3,11,8,28,18,1997,eerste_divisie
1,Emmen,34,16,10,4,2,33,17,18,1997,eerste_divisie
2,Go Ahead Eagles,30,16,9,3,4,30,19,18,1997,eerste_divisie
3,Cambuur,28,16,8,4,4,26,19,18,1997,eerste_divisie
4,MVV Maastricht,27,16,7,6,3,27,20,18,1997,eerste_divisie
5,BV Veendam ,26,17,7,5,5,21,14,18,1997,eerste_divisie
6,ADO Den Haag,26,15,7,5,3,18,12,18,1997,eerste_divisie
7,TOP Oss,26,16,7,5,4,27,22,18,1997,eerste_divisie
8,VVV Venlo,25,16,6,7,3,22,15,18,1997,eerste_divisie
9,Den Bosch,24,16,7,3,6,25,22,18,1997,eerste_divisie
10,PEC Zwolle,22,16,6,4,6,25,20,18,1997,eerste_divisie
11,FC Eindhoven,22,16,6,4,6,26,23,18,1997,eerste_divisie
12,Dordrecht,22,16,6,4,6,18,20,18,1997,eerste_divisie
13,Heracles,21,16,5,6,5,24,20,18,1997,eerste_divisie
14,RBC Roosendaal,19,16,6,1,9,19,26,18,1997,eerste_divisie
15,SC Telstar,16,16,4,4,8,21,33,18,1997,eerste_divisie
16,Helmond Sport,12,16,3,3,10,15,37,18,1997,eerste_divisie
17,Excelsior,9,16,2,3,11,11,28,18,1997,eerste_divisie
18,HFC Haarlem ,6,16,1,3,12,10,31,18,1997,eerste_divisie
1,Emmen,34,17,10,4,3,33,18,18,1997,eerste_divisie
2,ADO Den Haag,32,17,9,5,3,22,13,18,1997,eerste_divisie
3,Cambuur,31,17,9,4,4,28,20,18,1997,eerste_divisie
4,Go Ahead Eagles,30,17,9,3,5,30,21,18,1997,eerste_divisie
5,VVV Venlo,28,17,7,7,3,24,15,18,1997,eerste_divisie
6,MVV Maastricht,27,17,7,6,4,27,22,18,1997,eerste_divisie
7,Den Bosch,27,17,8,3,6,26,22,18,1997,eerste_divisie
8,BV Veendam ,26,17,7,5,5,21,14,18,1997,eerste_divisie
9,TOP Oss,26,17,7,5,5,27,24,18,1997,eerste_divisie
10,PEC Zwolle,25,17,7,4,6,27,20,18,1997,eerste_divisie
11,FC Eindhoven,25,17,7,4,6,28,24,18,1997,eerste_divisie
12,RBC Roosendaal,22,17,7,1,9,22,26,18,1997,eerste_divisie
13,Dordrecht,22,17,6,4,7,18,23,18,1997,eerste_divisie
14,Heracles,21,17,5,6,6,25,22,18,1997,eerste_divisie
15,SC Telstar,16,17,4,4,9,22,35,18,1997,eerste_divisie
16,Helmond Sport,12,17,3,3,11,16,39,18,1997,eerste_divisie
17,HFC Haarlem ,9,17,2,3,12,15,31,18,1997,eerste_divisie
18,Excelsior,9,17,2,3,12,11,33,18,1997,eerste_divisie
1,ADO Den Haag,35,18,10,5,3,26,15,18,1997,eerste_divisie
2,Emmen,34,18,10,4,4,35,21,18,1997,eerste_divisie
3,Cambuur,34,18,10,4,4,31,20,18,1997,eerste_divisie
4,Go Ahead Eagles,30,18,9,3,6,30,24,18,1997,eerste_divisie
5,MVV Maastricht,30,18,8,6,4,28,22,18,1997,eerste_divisie
6,BV Veendam ,29,18,8,5,5,22,14,18,1997,eerste_divisie
7,TOP Oss,29,18,8,5,5,28,24,18,1997,eerste_divisie
8,PEC Zwolle,28,18,8,4,6,30,22,18,1997,eerste_divisie
9,VVV Venlo,28,18,7,7,4,24,18,18,1997,eerste_divisie
10,FC Eindhoven,28,18,8,4,6,29,24,18,1997,eerste_divisie
11,Den Bosch,27,18,8,3,7,26,23,18,1997,eerste_divisie
12,RBC Roosendaal,25,18,8,1,9,25,26,18,1997,eerste_divisie
13,Dordrecht,22,18,6,4,8,18,24,18,1997,eerste_divisie
14,Heracles,21,18,5,6,7,27,26,18,1997,eerste_divisie
15,SC Telstar,19,18,5,4,9,23,35,18,1997,eerste_divisie
16,Helmond Sport,12,18,3,3,12,16,40,18,1997,eerste_divisie
17,HFC Haarlem ,9,18,2,3,13,15,32,18,1997,eerste_divisie
18,Excelsior,9,18,2,3,13,11,34,18,1997,eerste_divisie
1,Emmen,37,19,11,4,4,38,22,18,1997,eerste_divisie
2,Cambuur,37,19,11,4,4,34,21,18,1997,eerste_divisie
3,ADO Den Haag,36,19,10,6,3,27,16,18,1997,eerste_divisie
4,Go Ahead Eagles,33,19,10,3,6,33,24,18,1997,eerste_divisie
5,MVV Maastricht,33,19,9,6,4,31,22,18,1997,eerste_divisie
6,TOP Oss,32,19,9,5,5,29,24,18,1997,eerste_divisie
7,PEC Zwolle,31,19,9,4,6,32,23,18,1997,eerste_divisie
8,BV Veendam ,29,19,8,5,6,22,16,18,1997,eerste_divisie
9,VVV Venlo,28,19,7,7,5,24,20,18,1997,eerste_divisie
10,FC Eindhoven,28,19,8,4,7,29,27,18,1997,eerste_divisie
11,Den Bosch,27,19,8,3,8,27,25,18,1997,eerste_divisie
12,RBC Roosendaal,25,19,8,1,10,26,29,18,1997,eerste_divisie
13,Dordrecht,25,19,7,4,8,20,24,18,1997,eerste_divisie
14,Heracles,21,19,5,6,8,27,27,18,1997,eerste_divisie
15,SC Telstar,19,19,5,4,10,23,38,18,1997,eerste_divisie
16,Helmond Sport,15,19,4,3,12,18,40,18,1997,eerste_divisie
17,HFC Haarlem ,10,19,2,4,13,16,33,18,1997,eerste_divisie
18,Excelsior,9,19,2,3,14,12,37,18,1997,eerste_divisie
1,Emmen,40,20,12,4,4,39,22,18,1997,eerste_divisie
2,Cambuur,40,20,12,4,4,37,23,18,1997,eerste_divisie
3,ADO Den Haag,37,20,10,7,3,27,16,18,1997,eerste_divisie
4,TOP Oss,35,20,10,5,5,30,24,18,1997,eerste_divisie
5,MVV Maastricht,34,20,9,7,4,31,22,18,1997,eerste_divisie
6,Go Ahead Eagles,33,20,10,3,7,33,26,18,1997,eerste_divisie
7,BV Veendam ,32,20,9,5,6,24,17,18,1997,eerste_divisie
8,PEC Zwolle,31,20,9,4,7,33,25,18,1997,eerste_divisie
9,VVV Venlo,31,20,8,7,5,26,20,18,1997,eerste_divisie
10,Den Bosch,30,20,9,3,8,30,25,18,1997,eerste_divisie
11,FC Eindhoven,28,20,8,4,8,31,30,18,1997,eerste_divisie
12,Dordrecht,25,20,7,4,9,21,26,18,1997,eerste_divisie
13,RBC Roosendaal,25,20,8,1,11,26,32,18,1997,eerste_divisie
14,Heracles,21,20,5,6,9,28,31,18,1997,eerste_divisie
15,SC Telstar,19,20,5,4,11,23,39,18,1997,eerste_divisie
16,Helmond Sport,18,20,5,3,12,22,41,18,1997,eerste_divisie
17,Excelsior,12,20,3,3,14,14,38,18,1997,eerste_divisie
18,HFC Haarlem ,10,20,2,4,14,16,34,18,1997,eerste_divisie
1,Cambuur,43,21,13,4,4,40,23,18,1997,eerste_divisie
2,Emmen,41,21,12,5,4,40,23,18,1997,eerste_divisie
3,MVV Maastricht,37,21,10,7,4,34,22,18,1997,eerste_divisie
4,ADO Den Haag,37,21,10,7,4,27,19,18,1997,eerste_divisie
5,Go Ahead Eagles,36,21,11,3,7,37,27,18,1997,eerste_divisie
6,TOP Oss,35,21,10,5,6,30,27,18,1997,eerste_divisie
