Position,Team,Points,Round,Win,Draw,Lose,Goals_For,Goals_Against,Number_Teams,Year,League
1,Ajax,2,1,1,0,0,4,0,18,1990,eredivisie
2,Utrecht,2,1,1,0,0,3,0,18,1990,eredivisie
3,RKC Waalwijk,2,1,1,0,0,3,1,18,1990,eredivisie
4,NEC Nijmegen,2,1,1,0,0,2,1,18,1990,eredivisie
5,MVV Maastricht,2,1,1,0,0,2,1,18,1990,eredivisie
6,FC Volendam,2,1,1,0,0,1,0,18,1990,eredivisie
7,Twente 1965,1,1,0,1,0,1,1,18,1990,eredivisie
8,PSV,1,1,0,1,0,1,1,18,1990,eredivisie
9,Roda JC,1,1,0,1,0,1,1,18,1990,eredivisie
10,Vitesse,1,1,0,1,0,1,1,18,1990,eredivisie
11,Den Bosch,1,1,0,1,0,1,1,18,1990,eredivisie
12,Fortuna Sittard,1,1,0,1,0,1,1,18,1990,eredivisie
13,Sparta Rotterdam,0,1,0,0,1,1,2,18,1990,eredivisie
14,Willem II,0,1,0,0,1,1,2,18,1990,eredivisie
15,HFC Haarlem ,0,1,0,0,1,0,1,18,1990,eredivisie
16,Groningen,0,1,0,0,1,1,3,18,1990,eredivisie
17,Feyenoord,0,1,0,0,1,0,3,18,1990,eredivisie
18,ADO Den Haag,0,1,0,0,1,0,4,18,1990,eredivisie
1,Ajax,4,2,2,0,0,9,2,18,1990,eredivisie
2,MVV Maastricht,4,2,2,0,0,5,1,18,1990,eredivisie
3,RKC Waalwijk,4,2,2,0,0,5,1,18,1990,eredivisie
4,NEC Nijmegen,3,2,1,1,0,5,4,18,1990,eredivisie
5,Fortuna Sittard,3,2,1,1,0,2,1,18,1990,eredivisie
6,FC Volendam,3,2,1,1,0,2,1,18,1990,eredivisie
7,Utrecht,2,2,1,0,1,3,1,18,1990,eredivisie
8,Roda JC,2,2,0,2,0,2,2,18,1990,eredivisie
9,PSV,2,2,0,2,0,1,1,18,1990,eredivisie
10,Twente 1965,2,2,0,2,0,1,1,18,1990,eredivisie
11,Sparta Rotterdam,1,2,0,1,1,2,3,18,1990,eredivisie
12,Willem II,1,2,0,1,1,1,2,18,1990,eredivisie
13,Groningen,1,2,0,1,1,1,3,18,1990,eredivisie
14,Vitesse,1,2,0,1,1,3,6,18,1990,eredivisie
15,Den Bosch,1,2,0,1,1,1,4,18,1990,eredivisie
16,Feyenoord,1,2,0,1,1,1,4,18,1990,eredivisie
17,ADO Den Haag,1,2,0,1,1,3,7,18,1990,eredivisie
18,HFC Haarlem ,0,2,0,0,2,0,3,18,1990,eredivisie
1,RKC Waalwijk,6,3,3,0,0,7,2,18,1990,eredivisie
2,Fortuna Sittard,5,3,2,1,0,4,1,18,1990,eredivisie
