Position,Team,Points,Round,Win,Draw,Lose,Goals_For,Goals_Against,Number_Teams,Year,League
1,Sporting Braga,2,1,1,0,0,1,0,18,1990,primeira_liga
2,Benfica,2,1,1,0,0,5,1,18,1990,primeira_liga
3,Porto,2,1,1,0,0,2,0,18,1990,primeira_liga
4,Sporting CP,2,1,1,0,0,3,2,18,1990,primeira_liga
5,Chaves,2,1,1,0,0,3,2,18,1990,primeira_liga
6,Feirense,2,1,1,0,0,1,0,18,1990,primeira_liga
7,Belenenses,1,1,0,1,0,0,0,18,1990,primeira_liga
8,Beira Mar SC,1,1,0,1,0,2,2,18,1990,primeira_liga
9,Portimonense,1,1,0,1,0,2,2,18,1990,primeira_liga
10,Tirsense,1,1,0,1,0,1,1,18,1990,primeira_liga
11,Boavista,1,1,0,1,0,1,1,18,1990,primeira_liga
12,Marítimo,1,1,0,1,0,0,0,18,1990,primeira_liga
13,Estrela Amadora,0,1,0,0,1,0,1,18,1990,primeira_liga
14,Vitória,0,1,0,0,1,2,3,18,1990,primeira_liga
15,Penafiel,0,1,0,0,1,2,3,18,1990,primeira_liga
16,União Madeira,0,1,0,0,1,0,1,18,1990,primeira_liga
17,Nacional,0,1,0,0,1,0,2,18,1990,primeira_liga
18,Vitória Setúbal,0,1,0,0,1,1,5,18,1990,primeira_liga
1,Porto,4,2,2,0,0,4,0,18,1990,primeira_liga
2,Sporting CP,4,2,2,0,0,4,2,18,1990,primeira_liga
3,Belenenses,3,2,1,1,0,2,1,18,1990,primeira_liga
4,Benfica,3,2,1,1,0,6,2,18,1990,primeira_liga
5,Boavista,3,2,1,1,0,3,1,18,1990,primeira_liga
6,Sporting Braga,2,2,1,0,1,2,2,18,1990,primeira_liga
7,Estrela Amadora,2,2,1,0,1,3,1,18,1990,primeira_liga
8,Portimonense,2,2,0,2,0,3,3,18,1990,primeira_liga
9,Tirsense,2,2,0,2,0,1,1,18,1990,primeira_liga
10,Chaves,2,2,1,0,1,3,4,18,1990,primeira_liga
11,Feirense,2,2,1,0,1,1,3,18,1990,primeira_liga
12,Vitória Setúbal,2,2,1,0,1,3,6,18,1990,primeira_liga
13,Vitória,1,2,0,1,1,3,4,18,1990,primeira_liga
14,Beira Mar SC,1,2,0,1,1,2,3,18,1990,primeira_liga
15,Marítimo,1,2,0,1,1,1,2,18,1990,primeira_liga
16,União Madeira,1,2,0,1,1,0,1,18,1990,primeira_liga
17,Nacional,1,2,0,1,1,1,3,18,1990,primeira_liga
18,Penafiel,0,2,0,0,2,2,5,18,1990,primeira_liga
1,Porto,6,3,3,0,0,6,1,18,1990,primeira_liga
2,Sporting CP,6,3,3,0,0,6,2,18,1990,primeira_liga
3,Benfica,5,3,2,1,0,11,2,18,1990,primeira_liga
4,Boavista,5,3,2,1,0,8,2,18,1990,primeira_liga
5,Portimonense,4,3,1,2,0,5,4,18,1990,primeira_liga
6,Vitória Setúbal,4,3,2,0,1,6,6,18,1990,primeira_liga
7,Feirense,4,3,2,0,1,2,3,18,1990,primeira_liga
8,Belenenses,3,3,1,1,1,2,2,18,1990,primeira_liga
9,Estrela Amadora,3,3,1,1,1,3,1,18,1990,primeira_liga
10,Vitória,3,3,1,1,1,6,6,18,1990,primeira_liga
11,Tirsense,3,3,0,3,0,1,1,18,1990,primeira_liga
12,Sporting Braga,2,3,1,0,2,2,5,18,1990,primeira_liga
13,Chaves,2,3,1,0,2,4,6,18,1990,primeira_liga
14,Marítimo,1,3,0,1,2,3,5,18,1990,primeira_liga
15,Nacional,1,3,0,1,2,1,5,18,1990,primeira_liga
16,União Madeira,1,3,0,1,2,1,6,18,1990,primeira_liga
17,Beira Mar SC,1,3,0,1,2,2,8,18,1990,primeira_liga
18,Penafiel,0,3,0,0,3,3,7,18,1990,primeira_liga
1,Porto,8,4,4,0,0,10,1,18,1990,primeira_liga
2,Benfica,7,4,3,1,0,15,3,18,1990,primeira_liga
3,Sporting CP,7,4,3,1,0,6,2,18,1990,primeira_liga
4,Vitória Setúbal,6,4,3,0,1,8,6,18,1990,primeira_liga
5,Belenenses,5,4,2,1,1,3,2,18,1990,primeira_liga
6,Estrela Amadora,5,4,2,1,1,6,3,18,1990,primeira_liga
7,Boavista,5,4,2,1,1,10,5,18,1990,primeira_liga
8,Vitória,5,4,2,1,1,8,6,18,1990,primeira_liga
9,Portimonense,4,4,1,2,1,5,8,18,1990,primeira_liga
10,Feirense,4,4,2,0,2,2,5,18,1990,primeira_liga
11,Tirsense,3,4,0,3,1,1,2,18,1990,primeira_liga
12,Chaves,3,4,1,1,2,5,7,18,1990,primeira_liga
