Position,Team,Points,Round,Win,Draw,Lose,Goals_For,Goals_Against,Number_Teams,Year,League
1,Real Madrid,2,1,1,0,0,2,0,20,1990,primera_division
2,Osasuna,2,1,1,0,0,1,0,20,1990,primera_division
3,Atlético,2,1,1,0,0,3,1,20,1990,primera_division
4,Real Valladolid,2,1,1,0,0,2,0,20,1990,primera_division
5,CD Logroñés,2,1,1,0,0,1,0,20,1990,primera_division
6,Sevilla,2,1,1,0,0,1,0,20,1990,primera_division
7,Athletic,2,1,1,0,0,1,0,20,1990,primera_division
8,Real Zaragoza,2,1,1,0,0,3,0,20,1990,primera_division
9,CD Málaga,1,1,0,1,0,1,1,20,1990,primera_division
10,Real Oviedo,1,1,0,1,0,1,1,20,1990,primera_division
11,CD Castellón,1,1,0,1,0,1,1,20,1990,primera_division
12,Celta,1,1,0,1,0,1,1,20,1990,primera_division
13,Valencia,0,1,0,0,1,1,3,20,1990,primera_division
14,Barcelona,0,1,0,0,1,0,2,20,1990,primera_division
15,Real Sporting,0,1,0,0,1,0,2,20,1990,primera_division
16,R. Sociedad,0,1,0,0,1,0,1,20,1990,primera_division
17,Cádiz,0,1,0,0,1,0,1,20,1990,primera_division
18,Mallorca,0,1,0,0,1,0,1,20,1990,primera_division
19,Tenerife,0,1,0,0,1,0,1,20,1990,primera_division
20,Rayo Vallecano,0,1,0,0,1,0,3,20,1990,primera_division
1,Atlético,4,2,2,0,0,4,1,20,1990,primera_division
2,Sevilla,4,2,2,0,0,2,0,20,1990,primera_division
3,CD Logroñés,4,2,2,0,0,2,0,20,1990,primera_division
4,Real Madrid,3,2,1,1,0,2,0,20,1990,primera_division
5,Athletic,3,2,1,1,0,2,1,20,1990,primera_division
6,Barcelona,2,2,1,0,1,4,2,20,1990,primera_division
7,R. Sociedad,2,2,1,0,1,2,2,20,1990,primera_division
8,Real Oviedo,2,2,0,2,0,3,3,20,1990,primera_division
9,Real Valladolid,2,2,1,0,1,3,2,20,1990,primera_division
10,Real Zaragoza,2,2,1,0,1,4,2,20,1990,primera_division
11,CD Castellón,2,2,0,2,0,1,1,20,1990,primera_division
12,Osasuna,2,2,1,0,1,1,4,20,1990,primera_division
13,Rayo Vallecano,2,2,1,0,1,2,4,20,1990,primera_division
14,Valencia,1,2,0,1,1,2,4,20,1990,primera_division
15,CD Málaga,1,2,0,1,1,1,2,20,1990,primera_division
16,Real Sporting,1,2,0,1,1,1,3,20,1990,primera_division
17,Mallorca,1,2,0,1,1,2,3,20,1990,primera_division
18,Tenerife,1,2,0,1,1,1,2,20,1990,primera_division
19,Celta,1,2,0,1,1,1,2,20,1990,primera_division
20,Cádiz,0,2,0,0,2,0,2,20,1990,primera_division
1,Sevilla,6,3,3,0,0,5,1,20,1990,primera_division
2,Real Madrid,5,3,2,1,0,8,2,20,1990,primera_division
3,Atlético,5,3,2,1,0,4,1,20,1990,primera_division
4,Athletic,5,3,2,1,0,4,1,20,1990,primera_division
5,Osasuna,4,3,2,0,1,3,5,20,1990,primera_division
6,CD Logroñés,4,3,2,0,1,3,3,20,1990,primera_division
7,Real Oviedo,4,3,1,2,0,5,3,20,1990,primera_division
8,Real Valladolid,4,3,2,0,1,4,2,20,1990,primera_division
9,Real Zaragoza,3,3,1,1,1,7,5,20,1990,primera_division
10,Mallorca,3,3,1,1,1,4,4,20,1990,primera_division
11,Barcelona,2,3,1,0,2,4,4,20,1990,primera_division
12,R. Sociedad,2,3,1,0,2,2,3,20,1990,primera_division
13,Cádiz,2,3,1,0,2,2,2,20,1990,primera_division
14,CD Málaga,2,3,0,2,1,1,2,20,1990,primera_division
15,CD Castellón,2,3,0,2,1,2,3,20,1990,primera_division
16,Tenerife,2,3,0,2,1,4,5,20,1990,primera_division
17,Rayo Vallecano,2,3,1,0,2,3,6,20,1990,primera_division
18,Valencia,1,3,0,1,2,4,10,20,1990,primera_division
19,Real Sporting,1,3,0,1,2,1,5,20,1990,primera_division
20,Celta,1,3,0,1,2,1,4,20,1990,primera_division
1,Atlético,7,4,3,1,0,5,1,20,1990,primera_division
2,Real Madrid,6,4,2,2,0,8,2,20,1990,primera_division
3,CD Logroñés,6,4,3,0,1,4,3,20,1990,primera_division
4,Sevilla,6,4,3,0,1,5,2,20,1990,primera_division
5,Real Oviedo,5,4,1,3,0,6,4,20,1990,primera_division
6,Real Valladolid,5,4,2,1,1,4,2,20,1990,primera_division
7,Athletic,5,4,2,1,1,4,2,20,1990,primera_division
8,Real Zaragoza,4,4,1,2,1,9,7,20,1990,primera_division
9,R. Sociedad,4,4,2,0,2,3,3,20,1990,primera_division
10,Barcelona,4,4,2,0,2,6,4,20,1990,primera_division
11,Mallorca,4,4,1,2,1,4,4,20,1990,primera_division
12,Osasuna,4,4,2,0,2,3,6,20,1990,primera_division
13,CD Málaga,4,4,1,2,1,2,2,20,1990,primera_division
14,Valencia,3,4,1,1,2,7,10,20,1990,primera_division
15,Tenerife,3,4,0,3,1,4,5,20,1990,primera_division
