Classifier,Accuracy,Precision,Recall,F1Score
AdaBoost,0.5678700930159231,0.5423603577706935,0.5678700930159231,0.531342480298967
Decision_Tree,0.5545220452992801,0.524122536289135,0.5545220452992801,0.5203090957000261
GradientBoost,0.5833201954910926,0.56155443713441,0.5833201954910926,0.5553208379534116
KNN,0.5492669084029639,0.5213722652006212,0.5492669084029639,0.49836336125939074
Linear_Discriminant,0.5622733722213463,0.5330409810164649,0.5622733722213463,0.5274474088021576
Logistic_reg,0.5613274475800094,0.532266851318873,0.5613274475800094,0.5233691956833325
Naive_Bayes,0.5321351621209732,0.503037090040272,0.5321351621209732,0.50696975420458
SVC,0.33808923222449944,0.3903608527911159,0.33808923222449944,0.32239129328023614
Random_Forest,0.5642703242419465,0.5401804092028339,0.5642703242419465,0.5111202596304766
SGD,0.5546271480372064,0.5373306187412066,0.5546271480372064,0.46862205740773794
Quadratic_Discriminant,0.5553103158337275,0.5286162521865841,0.5553103158337275,0.5174178221404436
